stage,epidermis,immune,mesenchyme,neural,periderm,spinal.cord
 10-12,0,0,0,4.39,0,0
 24-34,0,0,0,0.78,0,0
 48-58,3.53,0,0,4.82,0,0
 60-70,0,0,0,1.53,0,0
 72-82,0,0,0,0,0,1.06
 84-94,0,0,0,0,1.03,0
 96-106,0,0.83,0.79,0,6.02,0
108-118,0,0,1.6,0.93,17.32,0
120,0,0,0,0,26.91,0
