stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2.76,7.09,0,0,10.61,0,0,2.57,0.85,0,0,0,0,0,0,9.32,0,3.92,88.78,2.16,0.83,0,0.82,7.67,1.09,0.85,2.53,3.95,25.05,0,0,0
 24-34,2.13,3.2,2.93,0,64.14,0,0,9.09,0.61,0,0.67,0,0,0,0,50.61,0,7.36,515.34,0,2.61,1.69,0,6.28,0,0.75,0,0.85,95.38,2.68,0,0.78
 36-46,0,5.63,13.5,0,173.08,0,0,4.59,0,0,0,0,9.33,0,0,18.34,1.52,6.99,380.91,0,12.67,1.19,0,18.22,0,0,0,0,66.76,10.98,0,0.9
 48-58,0,0.55,1.45,0,184.65,0.93,1.55,11.43,0,0.42,0,0,0,1.93,0,26.83,1.87,1.21,218.31,0,0,0.37,0,0.49,0,0,1.12,0,14.37,3.76,0,0
 60-70,0,16.92,2.99,0,124.41,0,0,5.52,1.66,0,0.72,5.28,0,0,0.62,21.58,10.2,4.51,137.87,0,8.9,0,0,0,0,0,0,0,8.05,0,0,0
 72-82,0,5.41,0,0,36.96,0,0.56,13.99,0,0,0,0,0,0,0,12.85,0,4.74,66.95,0,0,0.65,0,0,0,0,0,0,3.02,0,0,0
 84-94,0,2.63,0,0,30.65,0,0,0,0,0,1.53,2.37,0,0,0,27.86,1.13,2.14,46.11,0,0,2.22,0,0,0,0,0,0,0,3.11,1.73,0
 96-106,0,1.45,0,0,17.09,0,0,1.88,0,0.58,0,0,0,0,0,10.85,1.82,0,19.64,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,2.33,0.9,16.82,0,0,3.03,0.63,0,0,1.43,1.64,1.75,1.44,5.81,0,2.56,27.37,0,0,0.44,0,0,0,0,0.47,0,0,2.7,0,0
120,0,2.29,1.31,0,57.69,0,0,16.74,0,0,6.11,0,0,0,0,6.93,0,2,114.5,0,0,3.28,0,0,0,0,0,0,0,21.81,0,0
