stage,blastomeres,epidermis,eye,glial,ionocyte,neural,notochord,olfactory,otic,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,23.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,16.36,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.25,0,0
 24-34,0,0,0,0,0,0,0,0,0,3.61,0,0,0
 36-46,0,1.39,6.82,0,0,7.66,0,0,0,0,0,0,0
 48-58,0,0,34.31,0,0,11.82,0,0,0,0,0,0,0
 60-70,0,0,72.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,1.69,65.47,0,0,2.99,0,1.1,0.76,0,0,0,0
 84-94,0,0,68.13,0,0,2.55,1.31,0,0,0,0,7.59,0
 96-106,0,0.68,26.57,1.45,0,1.97,0,2.77,0,0,0,0,0
108-118,0,1.13,12.32,0,0.73,1.26,0,0,0,0,0,0,0
120,0,0,23.87,0,0,0,0,3.86,2.2,0,0,0,3.35
