stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,15.67,173.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0,0,0
  5-6,40.7,963.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57,0,0,0,0,0,6.97,0,0,0,0,0,0
  7-9,4.86,18.09,0,42.34,0,0,0,132.18,0,0,0,0,12.33,0,0,0,0,0,0,0,0,0,0,1011.35,11.06,0,0,166.97,0,0,0,0,0,0,0,0
 10-12,0,8.57,0,153.65,0,0,0,38.18,0,0,0,0,6.63,0,0,0,0,0,0,0,0,0,0,754.25,0,0,0,67.3,0,0,0,26.14,0,0,0,0
 14-21,0,0,0,10.53,103.42,2.05,0,2.79,0,0,2.31,3.53,0,0,0,7.31,0,0,0,3.35,0,0,3.01,35.54,0,1,3.68,0,0,12.8,4.25,0.89,9.15,11.12,0,0
 24-34,0,0,0.65,2.51,47.26,1.27,0,2.21,3.21,0,0.75,6.91,0,0,0,4.21,0,5.71,2.05,11.59,0,0,1.58,69.47,0,2.29,26.18,0,0,26.9,0,1.59,0,16.92,0,3.66
 36-46,0,0,0,0,24.27,0,0,3.48,0.56,0,1.72,0.83,0,0,0,0,1.49,1.25,0,4.74,0,0,0,16.86,0,1.26,6.56,0,0,50.3,0,0,0,4.43,0,0
 48-58,0,0,0,0.95,21.45,0,0,3.71,3.99,0.56,0.87,4.86,0,0.71,0,0,0,1.23,0.38,3.7,0,0.37,0.61,11.6,0,2.42,19.65,0,0,10.09,0,0.53,0,2.32,0,0
 60-70,0,0,0,0,31.97,0,0,0.71,15.1,0.84,0,3.65,0,0,0,0.58,0,0,0,11.18,0,0.68,0,12.56,0,1.81,5.55,0,0,14.37,0,0,0,3.61,0,0
 72-82,0,0,0.5,0,25.82,0,0,1.3,3.72,0.54,0.54,1.67,0,1.12,0.65,1.13,0,5.72,0,12.32,1.47,0,2.58,32.72,0,2.32,14,0,0,11.27,0,0,0,0,0,0
 84-94,0,0,0,0,38.67,0,0,0,4.19,0,5.67,6.85,0,0,0,2.59,0,11.13,0,7.9,1.27,0,0,11.55,0.72,5.06,22.93,0,2.48,17.91,0,2.69,0,0,1.63,0
 96-106,0,0,3.91,0,45.61,0,0.97,0.6,4.21,0,7.88,7.45,0,0,1.85,0,0,12,0,3.39,8.73,0,0,5.3,0,5.27,30.32,0,0,25.5,0,0,0,0,3.22,0
108-118,0,0,1.74,0,46.23,0,2.21,2.63,18.08,0,2.91,8.45,0,0,0,1.56,0,12.19,0.55,10.84,0.71,0,0,11.43,0,6.07,37.21,0,0,17.39,0,3.89,0,0,1.41,3.82
120,0,0,0,0,44.75,0,1.89,4.44,3.67,0,4.2,7.68,0,0,0,0,0,1.76,3.84,11.67,0,0,0,3.81,0,17.58,28.87,0,0,14.47,0,4.09,0,0,1.94,0
