stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,55.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,105.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88,0,0,0,0,0,0,0,0
  7-9,0,0,5.31,0,0,0,22.53,0,0,0,0,0,0,0,0,0,46.77,18.12,0,0,23.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.05,0,0,0,6.88,0,0,0,0,0,0,0,0,0,58.01,5.18,0,0,0,0,9.34,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.81,0,0,0,0,0,0,3.19,0,3.28,48.57,0,0,0,0,0,0,0,0.84,13.35,0,0,0,0
 24-34,0,0,0,2.78,0,0,0.98,0,0,0,0,0,0,0.84,0,0,148.16,0,3.32,0,0,0,0,0,0,40.42,0,0.73,0,2.65
 36-46,0,0,0,0,0,0,6.43,0,0,0,0,0,1.71,3.4,0,0,376.4,6.75,1.06,0,0,1.5,0,0,0,55.09,0,0,0,12.44
 48-58,0,0,0,0.42,0,0,38.36,0,2.26,0,0,0,0,2.79,0,0.61,511.93,0,0,0.69,0,0,0,0,0,51.5,0,0.9,0,0
 60-70,0,0,0,0,0,0,117.76,0,3.26,0,0,0,0,4.61,0,0.67,728.59,0,2.41,1.23,0,0,0,3.95,0,65.24,0,0,0,0
 72-82,0,0,0,0,0,0,110.74,0,4.98,1.84,0,0,0,4.01,2.8,1.4,614.55,0,1.89,0.52,0,0,0,0,0,70.26,0,0,0.91,6.37
 84-94,0,0,0,0,0,0,128.23,0.94,5.01,0,0,0.83,0,11.42,3.04,3.07,399.24,0,0,0,0,0,0,0,0,36.9,0,0,0,0
 96-106,0,1.1,0,0,6.83,0,152.8,0,8.18,0,8.58,0,0,6.05,0,0,293.01,0,0,0,0,1.01,0,0,0,7.26,2.03,0.68,0,0
108-118,0,0,0,2.82,0,1.94,116.41,0.5,12.69,0,0,0,0,4.31,0,1.12,406.58,0,0,0,0,1.1,0,0,0,16.02,0,1.53,0,0.59
120,0,0,0,15.92,0,0,109.26,0,28.7,0,0,0,0,27.31,2.35,0,512.62,10.25,0,0,0,0,0,0,0,57.32,0,0,0,0
