stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,3.09,0,0,0,0,0,0,0,0,8.21,0,0,0,0,0,0,0,0,0,3.34,0,0,0,0,0,0,0,0.91,3.13,0,0,0,0,0,0
 24-34,0,0,0,4.7,0,0,0,0,0,0,0,1.22,97.97,0,0,0,0,7.46,0,0,0,3.59,2.88,0,0,0,0,0,0,0,6.21,7.36,1.62,0,0,3.86,0,0
 36-46,0,0,0,0,0,1.07,0,0,0,0,0,0,19.89,0,0,0,0,0,1.62,0,19.02,0,1.82,0,0,0,0,1.01,1.94,0,0.74,0.94,0,0,11.07,0,0,0
 48-58,0,0,6.11,0,0,9.34,0,0,0,2.57,0,6.9,15.46,0,0,0,0,0,48.94,0,33.41,0,11.46,0,0,0,0,22.94,0,0,1.13,10.59,0.91,0,5.27,0,0,0
 60-70,0,0,0,0.81,0,9.96,0,0,4.31,0,0,2.45,2.14,0,0,0,1.41,0,1300.82,0,102.68,39.18,95.19,0,0,0.65,0,110.47,3.26,0,7.28,21.63,2.27,0,128.6,0,40.67,0
 72-82,0,0,31.15,9.28,1.1,206.93,7.87,8.08,5.94,20.69,0,0,1.22,0,2.27,0,0,0,5298,0,324.71,35.37,123.55,0,1.28,1.62,13.52,168.78,9.5,0,9.24,15.24,4.8,1.57,517.98,1.56,819.36,3.43
 84-94,0,0,17.17,0,0,235.03,3.91,0,31.44,54.67,0.62,1.42,8.15,0,0,0,4.25,0,5233.8,2.96,580.06,19.24,75.37,0,0,0,0,148.06,0.61,0,0,24.3,0.75,0,599.39,5.86,670.57,0
 96-106,0,0,145.36,75.61,3.37,937.46,36.16,8.68,67.78,158.41,4.12,355.28,22.93,1.99,23.95,4.5,73.87,0,15413.48,10.09,1841.07,183.8,1000.55,3.22,5.53,3.75,0,1405.64,77.9,0,93.61,75.27,0,3.62,1679.78,21.75,3135.52,0.73
108-118,13,0.76,38.93,12.04,3.87,373.58,21.08,17.99,24.09,65.42,1.15,21.59,23.51,12.26,3.42,11.66,32.39,7.83,21404.42,1.27,1777.21,73.78,687.53,7.05,5.64,0.78,0,1019.02,27.02,0,12.61,8.91,20.99,43.24,1241.8,9.79,1937.44,8.55
120,0,0,73.69,26.98,1.23,372.99,10.89,30.95,3.65,100.88,6.3,82.78,77.54,1.06,0,0,10.76,0,23206.79,0,2282.08,55.22,635.55,4.95,19.95,10.88,0,1237.23,5.04,7.49,0,49.38,9.15,0,2094.25,12.95,3293.71,8.45
