stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,18.27,3.98,2.42,0,8.79,0,0,0,0,17.39,2.24,0,0,0,0,0,0,0,0,0,0,1.45,166.03,5.01,0,0,1.96,0,0.98,1.08,0,1.39,0.94,49.69,0,0,0,0,0
 24-34,0,6.64,2.51,0,0,11.23,0,0,0,17.78,11.17,0,0,3.97,0,0,0,0,2.58,6.44,0,0,1.93,614.33,0.68,6.93,1.45,0,0,0,1.1,0,0,0,110.61,0,0,0,0,0
 36-46,0,0,1.58,0,0,61.55,0,0,0,63.95,0.83,0,0,0.65,0,0,0,0,0,5.99,0,0,1.23,1851.43,0,4.64,1.09,0,0,3.99,0,0,0,0,287.32,0,0,2.89,0,9.12
 48-58,0,0,3.91,0,0,296.58,0,0,0,106.33,0,0,0,0,0,0.47,0,6.39,7.79,21.29,0.7,0.75,8.05,2576.18,0,6.14,0,0,0,2.93,0,0,0,0,276.75,0,0,2.23,0,13.05
 60-70,0.65,0,5.29,0,0,1904.75,0,1.4,0.98,142.32,0,0,0,0,0,0.66,0,0,0,32.13,3.12,0.81,11.84,5065.29,0,5.91,0,0,0.84,12.9,0,0,0,0,346.38,0,0,5.38,0,36.31
 72-82,1.18,0,14.63,3.04,0,2363.44,0.79,0.58,3.1,114.86,0,0,0,0.64,0,0,0,0,0,35.69,0,0.9,3.36,3898.53,0,4.29,4.57,0,0,1.73,0,0,0,0,203.31,0,1.17,2.33,0,14.18
 84-94,1.65,0,24.56,1.45,0,2072.68,9.64,11.62,1.1,128.21,0,0,0,1.29,0,1,0.69,10.18,0,44.68,0,2.67,0.76,3263.72,0,2.35,5.14,0,2.3,10.98,0,0.56,0,0,173.85,0,0,3.62,2.8,10.17
 96-106,1.38,0,20.18,6.78,0,1684.1,0.87,0,0,173.33,0,0,2.18,3.45,0.86,2.64,0,0,0,47.66,0,0,5.04,2084.52,0,0,0,0,0,1.37,0,0,0,0,62.18,0,1.65,1.99,1.22,7.91
108-118,0,0,17.75,1.7,0.7,1322.15,0,0.75,1.6,88.63,0,0,0,0,0,1.9,1.24,0.86,0,25.17,1.27,2.64,3.62,2390.08,0,0.61,0,0,0,0.92,0,0,0,0,38.79,0.51,0,3.16,0.49,16.3
120,0,0,26.24,5.03,0,1051.07,0,0,0,142.74,0,0,1.85,6.8,0,0,0,0,0,87.48,0,0,2.55,3423.08,0,4.59,0,0,0,2.47,0,2.39,0,0,71.44,0,0,0,0,0
