stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,4.75,0,0
 24-34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,2.46,1.77,2.12,0.83,0,0,0
 36-46,0,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,5.19,0,2.54,0,0,0,0
 48-58,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,1.81,0,0,0,0.9,0,0
 60-70,0,0,0,0,4.38,0,0,0.62,0,0,0,0,0,22,0,0,0,1.05,0,6.88,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,3,0,0,0,0.55,0,0,0.59,0,0,0,5.13,0,1.89,0,0,0,1.07
 84-94,0,0,0,0,4.82,0,0,0,5.9,0,0.95,0,0,0,0,0,0,0,0,3.53,0,1.11,0,0,0,0.62
 96-106,0,0.61,0,0,12.53,0,0.99,0,67.1,0,0,1,0,0,0,0.57,0,0,0,6.49,0.7,7.11,0,0,0,0
108-118,0,0,2.67,1.67,14.69,0.43,0,0,302.23,1.65,0,0.87,0,0.86,1.34,5.43,0.93,0,0.53,17.94,0,1.05,0,0,0.78,0
120,7.45,3.02,0,0,0,0,3.1,3.36,334.37,0,1.57,0,0,4.16,0,18.37,0,0,0,23.14,0,8.5,1.38,0,0,0
