stage,epidermis,eye,fin.mesenchyme,glial,mesenchyme,muscle,neural,notochord,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,19.15,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,10.73,10.22,0,0,0,0,0,0
 14-21,4.1,0,0,0,0,0,3.42,0,0,2.07,0,0,0,0
 24-34,0,1.07,0,0,0,0,2.94,0,0,0,0,0,0,0
 36-46,2.01,0,0,0.93,0,0,1.93,0,0.87,0,1.24,0,0.75,0
 48-58,0,0.77,0,0,0.84,0.53,6.45,0,0,0,0,0,0,0
 60-70,0,0,0,0,7.15,0,2.11,0,0,0,0,1.84,0,0
 72-82,0,0.99,0,0.49,1.53,0.68,0,0,0,0,0,0,0,0
 84-94,0,0,0.78,0.76,1.65,0,5.49,0,0,0,0,0,0,0
 96-106,0,0,0,0,4.35,0,0,0,0,0,0,0,0,1.4
108-118,0.44,0,0,0,10.05,0.42,0.76,0,0,0,0,0,0,0
120,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0
