stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,8.46,0.94,2.11,0,0,1.34,0,0,0,1.15,3.08,0,5.88,67.75,0.91,1.44,0.84,0.82,0,4.52,0,4.42,20.76,0,0,0,0
 24-34,0,3.7,0,1.76,0,0,0,0,0,0.63,0,2.39,0,0.91,24.86,0,0,0,0,0.7,0,1.32,0,4.41,0,0,4.69,0
 36-46,0,0,0,3.36,1.15,0,3.86,0,0,0,0,2.81,0,1.69,43.01,0,1.63,2.11,0,4.39,0,0,0,6.83,0,0,0,0
 48-58,0,8.09,0,7.55,1.04,0,1.23,0,7.78,0.38,0,3.75,0,0.94,31.52,0,1.22,0,0,3.12,0,0,0,4.36,0,0,0,0
 60-70,0,5.13,0,25.97,0.63,0,5.79,0,0,0,0,11.42,0,1.71,72.94,0,2.34,0.62,0,4,0,1.35,0,21.49,0,0,5.49,0
 72-82,0,0.65,0,43.82,0,0.83,7.85,0.98,0,0,0,7.99,0,2.09,67.26,0,4.65,0,0,0,0,0,0,22.85,0,0,3.32,1.35
 84-94,0,2.81,0,8.84,0.59,0,7.62,0,0,0,0,7.34,1.04,0.83,34.33,0,4.2,0,0,3.4,0,0,0,3.46,0.78,0,0,0
 96-106,0.87,0.69,3.87,2.22,0,0,2.27,1.52,0,0,0,10.13,0,0,29.15,0,6.77,0.57,0,0,0,0,0,3.58,0,0,0.92,2.3
108-118,3.86,0.66,4.16,23.99,0,0,0.68,0.75,0,2.57,0,26.74,0,2.79,61.05,0,2.44,2.04,0,6.07,0,0,0,11.82,0,0.99,0,0
120,0,1.16,0,2.87,0,0,8.46,2.31,0,0,0,1.52,0,9.87,53.31,0,6.87,0,0,0,0,0,0,11.33,0,0,0,1.43
