stage,epidermis,eye,glial,immune,neural,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,1.22
 36-46,0.62,0,0,0,0,0.69,0,0
 48-58,0.43,0.44,0,0,0,0,0.82,0
 60-70,0,0,0,0,3.92,0,0,0
 72-82,0.78,17.83,0,0,0,0,0,0
 84-94,0,1.82,0,0,3.93,0,0,0
 96-106,1.69,14.12,0,0.72,0,0,0,0
108-118,0.43,1.96,0,0,2.37,0,0,0
120,1.28,0,5.02,0,30.5,0,0,0
