stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.95,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,4.58,0,7.57,0,0,0,0,0,0,0,0
 14-21,0,0,6.27,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.31,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0
 24-34,0,0.61,1.28,0.81,0,1.69,0,2.26,0,0,0,0,0,0,2.54,0,0,0.8,19.37,0,2.14,0.74,0,6.89,0,0,0.65,16.33,0,0,3.04,0,1.18
 36-46,0,0,15.87,0,1.47,0,0,0,0,0,0,0,0,0,1.98,0,0,1.09,57.79,0,0.76,0,0,7.58,0,0,0,14.42,0,0,0,0,0
 48-58,0,0,1.47,0,11.59,0,1.29,9.14,0,0,0,0,0,0,6.21,0,0,0.55,120.83,0,2.29,0,0,1.93,0,0,0,6.83,0,0,5.69,0,0
 60-70,0,0,0,0,33.92,0,1.48,12.42,0,0,0,0,0,3.58,5.96,0,0,0.93,115.65,0,6.89,0,0,3.12,0,0,0,11.49,0,0,0,0,0
 72-82,0,0,0,0,47.06,0,0,13.53,1.15,0,0,6.84,0,0,3.97,0,0.75,0,169.78,0,2,0,0,0,0,0,0,9.52,1.16,0,4.79,0,1.15
 84-94,0,3.91,4.12,1.04,22.67,0,0,6.76,0,1.02,0,0,8.94,2.07,12.32,3.24,0,0,108.48,2.58,1.89,0.59,0,2.99,0,0,0,5.73,0,0,2.47,1.33,0
 96-106,0,0,0.69,0,41.79,0,0,4.42,0,0,0.64,0,0,0,6.15,0,0.59,0,114.68,0,3.94,2.13,0,2.3,0,0,0,1.3,1.97,0,1.22,0,0
108-118,0,0,3.03,0,25.19,2.33,0,4.09,1.91,0,0,0,5.96,0,12.71,0,0,0,120.14,0.43,1.07,0,0,4.24,0.48,0.56,0,8.01,0,3.86,2.76,0,0
120,0,0,11.98,0,11.19,0,0,20.76,3.95,0,0,6.54,0,0,0,0,0,4.37,209.4,0,0,6.66,0,1.45,2.39,0,0,0,0,0,0,0,0
