stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,pronephros,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,14.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0,4.03,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0.6,0,0,0
 48-58,0,1.75,0,0,0,0,0,0,0,0,0,14.28,0.82,0,0,1.49,0,0,0,0.8,0,0,0
 60-70,0,25.13,3.52,0,0,1.61,0,0,0,3.43,0,132.52,0,0,0,5.14,0,0,0,2.11,0,0,0
 72-82,0,18.12,1.17,0.99,0,0,5.08,7.43,0,0,0,323.04,0,0,16.93,32.43,0,0,0,2.5,0,0.58,3.48
 84-94,0,35.32,1.29,1.92,0,4.73,0,6.94,0.6,2.66,0,291.99,0,2.04,12.38,7.62,0,0.92,0,3.05,0,14.75,1.16
 96-106,0,30.74,0,14.38,0,4.34,12.08,12.21,3.11,0.95,0,285.57,1.34,2.54,12.66,57.8,2.02,0,1.57,1.96,4.75,1.32,5.88
108-118,0,28.17,0,10.88,0,9.27,7.32,1.95,2.69,0.84,0,422.66,0,9.03,6.94,66.52,0.81,0,7.67,1.34,0,32.12,0
120,0,27.38,6.69,3.1,2.98,2.06,5.27,3.88,0,0,4.81,381.04,1.05,0,3.16,36.6,0,0,3.42,1.62,2.35,22.79,0
