stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,62.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,62.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.09,0,0,0,0,0,16.9,0,0,0,0,0,0,0,0,0,0,0,44.87,6.74,0,0,16.8,0,0,8.66,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.53,5.01,0,0,0,0,0,0,0,6.93,0,0,0,0,0,0,0
 14-21,1.39,0,0,0,1.7,0.91,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,1.76,0,0,1.54,1.8,634.26,0,0,0,0,0,0,0,2.59,0,1.07,0,0,1.07,0,0
 24-34,0,0,0,0,5.44,0,0,1.9,0,0,0,5.87,0,0,0,0,2.36,0,0,0,0,26.37,0,0,0.67,54.06,225.98,0,0.62,0,0,1.34,0,0,33.81,421.71,7.06,0,0,1.33,0,0
 36-46,0,0,0,0,0.87,0,0,32.99,0,0,0,8.72,0,0,1.34,0,0.68,0.86,0,0,0,20.5,0,2.83,8.48,134.19,74.64,1.47,0,0,0,6.53,0,0,15.37,2689.06,39.02,0,0,3.42,0,6.4
 48-58,0,0,0,0,10.71,0.45,0,120.8,10.52,0.38,8.14,14.49,1.57,0.37,0,1.71,5.2,4.96,0,0,7.62,54.03,1.05,0.47,30.38,353.38,6.36,1.17,1.82,23.86,0,27.88,0,0,6.82,3517.04,78.51,0,0,8.2,0,30.66
 60-70,0,0,0,0,25.3,0.59,0,134.26,109.18,0,16.95,13.24,0,0,0,3.99,1.46,6.73,0,3.22,9.95,42.68,1.43,0,26.61,144.18,16.5,0,0,3.24,0,20.01,0,0,9.59,2176.65,40.54,0,1.6,12,12,11.33
 72-82,0,0,0,0,8.21,14.22,0,130.63,190.09,2.13,9.83,16.08,0,0,6.31,0.68,1.68,5.6,0.79,7.5,0,61.55,1.06,7.52,16.63,238.54,5.71,0.79,1.79,6.76,1.12,9.86,0,0,16.33,1119.4,50.93,0,2.41,3.12,0,13.67
 84-94,0,0,0,0,10.11,11.84,0,181.35,324.89,1.78,0.73,27.59,0,0,4.21,2.55,0,1.71,3.57,3.54,9.73,65.57,2.84,4.03,20.39,203.64,5.08,0.9,1.17,0,2.1,15.78,0,0,15.6,2103.23,50.1,2.24,0,9.94,0.6,14.2
 96-106,0,0,1.94,1.75,33.06,143.61,13.89,478,449.69,7.48,18.92,73.14,9.03,0,3.94,13.63,2.65,0.98,4.13,58.66,0,188.45,4.6,4.99,39.44,407.22,0.62,3.62,9.21,4.82,2.77,57.06,0,0,5.26,1993.95,23.98,6.4,0.72,22.2,15.04,58.6
108-118,0,0,0.41,2.35,13.14,21.79,4.32,141.52,873.44,9.11,0.66,38.17,2.72,0,0.69,4.25,2.51,1.99,6.62,14.56,1.25,86.41,1.3,4.29,32.63,298.72,1.8,0.48,4.24,0,2.76,12.76,0,0,3.61,1915.62,4.84,0,3.13,14.04,3.99,6.3
120,0,0,0,0,14.99,25.54,0,86.69,522.36,0,0,43.35,8.39,0,3.24,3.19,0,0,0,15.75,0,52.84,0,0,103.5,358.83,3.53,8.55,7.59,0,9.21,6.89,0,22.38,1.12,785.28,0,0,0,3.92,0,0
