stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.52,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9,18.59,0,0,3.89,0,0,0,0,0,0,0,0,0
 14-21,0,2.52,7.29,3.05,0,0,0,0,0,0,0,0,0,0,0,22.06,0,0,0,2.5,0,0,0,0,0,0.93,0,4.15,0,0,1.82,0,0
 24-34,0,3.11,4.65,0,0,0,3.64,0,0,0,1.53,0,0,0,0,79.91,1.13,0,0.77,2.67,0,0,0,0,0,0,0,0.99,0,0,0,0,0
 36-46,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,53.84,0,0,0,17.9,0,0,0,0,0,0,0,21.21,0,0,0,0,0
 48-58,0,2,0,0,0,0,0,0,0,2.36,0,0,0,0,0,103.05,0.63,0,0,3.2,0,0,0,0,0,0,0,7.54,0,0,0,0,0
 60-70,0,0.86,0,0,0,0,1.06,0,0,0.92,1.54,0,0,0,0,192.09,0,0,0,7,0,0,0,0,0,0,0,7.67,0,0,0,0,0
 72-82,0,6.63,0,1.17,2.46,7.95,18.19,0,5.12,11.69,3.06,0,1.88,0,0,496.84,5.47,1.28,0.71,49.81,0,0,0,0,1.03,0,0.76,3.27,0,0,0,0,2.86
 84-94,0,10.29,0,0.67,0,3.39,28.78,0,0,17.36,2.87,0,0,0,0,1986.56,14.25,0,7.29,88.17,0,0.71,0,0,5.42,0,0,1.58,0.62,0,1.33,0,0
 96-106,0,12.95,0,12.42,17.36,11.22,83.33,0.58,0,17.87,10.05,0.73,1.52,0,1.31,3017.87,60.38,0.73,0,385.35,0.81,3.61,0.78,0,17.91,0,1.33,0,1.23,0,14.79,0,12.61
108-118,0,19.25,0.54,6.71,13.42,14.88,85.23,0.43,0,15.73,3.63,1.35,2.02,0.43,0.72,5384.33,48.71,1.32,3.14,353.65,0,0,9.71,0,16,0,0.88,4.15,1.83,1.44,1.41,3.55,0.59
120,0,1.22,0,18.01,3.09,0,38.42,0,0,15.29,3.82,0,2.04,0,1.6,2435.71,43.14,0,5.37,228.3,7.67,0,0,0,11.97,0,0,16.43,0,3.8,0,0,0
