stage,axial,blastomeres,epidermis,eye,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,neural,periderm,spinal_cord
  5-6,0,6.38,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.24,0,0
 10-12,3.8,0,0,4.05,9.79,0,0,0,0,0,0,10.31,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,6.43,0
 36-46,0,0,0.56,0,0,0,0,0,0,0,0,0,3.86,0
 48-58,0,0,0,0,0,0,0,0,0,0.39,0,1.22,0,0
 60-70,0,0,0,1.68,0,0,0,0,0,0,4.03,2.1,6.08,0.61
 72-82,0,0,0.62,0,0,0,0,0,0.89,0,0,6.22,0.97,0
 84-94,0,0,1.86,0,0,0,0.8,0,0,1.42,0,3.46,1.66,0
 96-106,0,0,0.58,0,0,0,0,0,0,0,0,0,1.17,0
108-118,0,0,0,0,0,0,0,0.41,0,7.12,2.52,1.53,0,0
120,0,0,0,0,0,3.08,0,0,0,0,0,9.18,0,0
