stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.94,119.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,37.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,4.06,0,0,0,12.25,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.23,0,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.84,0,0,0,0,5.07,0,0,4.78,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,6.17,6.52,0,0,0,0,0,0,1.31,0,0,1.11,4.96,0,0.81,0,0
 24-34,0,0,0,0,0.6,0,0,2.04,1.57,0,0,0.67,0,0,1.99,0,0,2.55,0.69,4.16,1.09,0,1.93,81.02,0,2.17,7.69,0,13.7,0,0,1.34,0,0.62,18.01,0,2.39,0,0
 36-46,0,0,0,0,0,0,0,8.33,0,0,4.39,1.23,0.63,5.35,0,0,0,0,0,11.62,0,0,0,124.06,0,1.87,0.56,5.7,3.31,0.81,0,0,0,0,19.67,0,2.04,0,0
 48-58,0,0,0,0,14.42,0.83,0,24.25,0.46,0.45,2.87,0,0,0,0.49,0,0.94,0,2.19,14.42,0,0,0.42,124.1,0.38,0,0.68,0,1.4,0,0,0,1.48,0,25.44,0,7.77,0,0
 60-70,0,0,0,0,0.69,0,0,48.62,0,1.84,11.24,0,0,0.76,0,0,0,0,0,15.93,1.87,0,0,161.01,0,0.88,3.25,0,11.01,0,0,3.18,0,0,12.97,0,3.35,0,0
 72-82,0,0,0,0,1.43,1.74,0,43.04,0.99,0,17.12,2.09,0,0,0,0,0,0,0,15.14,1.61,0.65,0,52.04,0,0,3.15,3.93,0.75,0,0,0,0,0,4.62,0.56,9.75,0,0
 84-94,0,0,0,0,4.49,4.66,0,34.98,0,0,8.31,1.31,0,6.4,0.68,0,2.5,1.25,0,3.82,0,0,0,53.9,0,0.56,10.49,3.21,11.08,0,0,0.56,0,0,5.18,2.04,1.29,2.71,0
 96-106,0,0,0,0,1.15,0,0,14.45,0.58,0,11.57,0.73,0,0,0.61,0.79,1.81,0,0,6.68,0,0,0,29.54,0,0.7,14.85,0,5.33,0,0,0,0,0,0,2.81,0,0,3.59
108-118,0,0,1.21,0,5.1,2.38,2.79,21.6,0,0,4.09,0.82,0,0,0.47,0.44,1.38,0,0,8.46,2.55,0,0,43.29,0,0.57,10.9,0.91,1.89,0,0,0.97,0,0,0,1.29,6.63,0,0
120,0,0,0,0,18.03,1.01,0,24.96,1.62,0,3.15,0,2.95,3.6,0,0,5.09,0,0,3.7,0,0,0,23.66,0,8.69,9.06,0,7.07,0,0,5.18,0,0,0,0,0,0,0
