stage,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,hatching.gland,immune,lateral.line,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,spinal.cord
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,3.41,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,30.34,0,0,3.1
 48-58,0,0.38,6.18,0,0,2.55,0,0,2.73,0.73,0,25.62,0,0,11.65
 60-70,0,0,13.22,2.5,0,0,0,0,0,0,0,55.41,0,0,1.99
 72-82,0.62,0,22.82,0,0.61,0,0,0.95,0,3.05,0,42.61,0,0,3.68
 84-94,0,0,17.08,0,0,0,0,0,3.13,0,0,26.82,0,0,0
 96-106,0,0,21.26,0,1.38,0,0,0,0,0,2.26,13.17,0,0,0
108-118,0,0.66,23.75,0,0.54,0,0.82,0,2.2,2.16,0,25.88,0,0,0
120,0,0,39.03,0,5.54,0,0,0,0,0,0,29.21,2.33,0,0
