stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,276.24,5825.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.34,0,0,0,0,0,0,0,0,0,0
  5-6,145.33,2511.93,0,0,0,0,0,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0,0,0,126.92,14.47,0,0,23.96,0,63.21,0,0,0,0,0,0,0,0,0,0
  7-9,60.13,37.74,0,59.11,0,0,0,110.56,0,0,0,0,0,81.21,0,0,0,0,0,0,0,0,0,0,0,918.43,37.44,0,0,390.39,0,15.65,57.68,0,0,0,0,0,0,0,0,0
 10-12,0,25.37,0,51.27,0,4.44,0,136.9,0,0,0,0,0,4.74,0,0,0,0,0,0,0,0,0,0,0,899.26,38.27,0,0,424.94,0,12.69,17.67,4.75,68.84,0,10.82,0,0,0,0,0
 14-21,0,0,0,6.27,45.17,40.62,0,27.11,0,0,0,15.2,4.85,0,0,0,1.54,0,0,1.41,0,30.82,0,0,25.58,506.31,56.48,1.09,2.08,15.8,0,49.3,4.65,83.08,4.67,1.39,57.05,151.37,0,5.92,0,0
 24-34,0,0,0,1.3,39.1,13,0,128.54,0,0.68,0,22.61,1.66,0,3.9,3.1,0.77,0.79,0.7,0.96,0,101.5,1.42,0,37.96,1268.15,18.08,5.2,8.51,0,0,196.79,0,0,2.83,0,5.63,265.79,0,18.17,0,1.46
 36-46,0,0,0,0,27.84,10.64,0,290.37,0,1.71,0,42.38,0.72,0,0,3.41,1.79,2.79,0,3.29,0,92.06,0.67,0,37.47,871.58,22.4,7.23,2.02,0,0,106.12,0,0,1.77,0,0,255.03,0,13.18,0,4.05
 48-58,0,0,0,0,17.05,10.9,0,350.55,0,1.15,0,24.62,0,0,5.21,1.42,0,1.69,0,0.69,0,92.8,0,4.34,17.12,435.08,1.54,3.68,1.58,0,0,43.2,0,0,0.4,0,0,77.75,0.51,19.98,0,10.33
 60-70,0,0,0.62,0,27.27,0,0,248.26,0,1.81,1.36,18.35,0,0,0,5.98,0,1.78,0.67,8.01,9.05,60.49,0,6.55,12.69,222.84,1.68,0,1.94,0,0,22.15,0,0,0,0,0,25.98,0,12.19,0.85,0
 72-82,0,0,0,0,24.3,0,1.86,92.3,2.19,0,1.05,28.96,1.97,0,0,0.59,0.51,1.68,0,1.03,0,63.57,0.71,6.25,11.48,140.48,1.26,0.82,1.91,0,0,5.85,0,0,3.55,0,0,15.34,0,17.38,4.01,0
 84-94,0,0,0,0,40.67,3.81,1.33,84.51,0,1.82,0,30.91,1.35,0,0,2.96,0,0.58,5.69,0,0,81.81,0,10.17,7.18,93.28,1.78,0,4.59,0,0,11.82,0,0,0,0,0,9.42,1.04,28.2,0.91,0
 96-106,0,0,0,0,17.45,0,0,97.77,0,1.81,0,22.3,5.73,0,1.62,4.91,0.56,0,0,0,0,37.16,0,0.8,4.83,72.91,2.38,0,4.86,0,0,20.11,0,0,1.4,0,0,4.81,0.72,16.67,0,0
108-118,0,0,0,0,11.33,5.16,3.57,60.71,0,1.13,0.59,30.8,1.27,0,1.49,3.13,0,5.59,0,2.23,0,47.26,0,6.74,6.03,151.2,1.24,0.77,2.91,0,1.91,15.97,0,0,0.45,0,0,5.69,0,10.77,1.13,0
120,0,0,0,0,15.41,15.77,2.42,50.46,0,0,0,48.79,0,0,10.37,8.07,0,4.9,0,2.32,0,63.84,0,2.12,2.22,135.67,1.03,0,5.31,0,0,4.94,0,0,1.16,0,0,10.17,0,2.98,0,0
