stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,2.15,0,0,0.84,0,0,0,0,0,0,0,1.2,0,0,0.91,45.71,0,0,0,0,1.28,0,3.66,32.21,0,0,0,0,0
 24-34,0.61,0.79,0,3.49,0,0,4.39,0,0,0,0,0,0,0,0.74,0,0,0.8,471.73,0,16.11,1.5,1.45,1.34,0,0,201.41,0,0,0.99,0,0
 36-46,0.98,0,0,12.47,0,0,6.56,0,0,0,0,0,0,0,1.73,0,0,0,1159.29,0,11.74,0,1.05,3.12,0,0,358.93,0,0,1.95,0,4.55
 48-58,0,4.27,0,139.04,0,1.46,16.94,0,0,0,0,0.44,0,0.51,7.81,0,0.68,0.7,1642.62,2.41,15.05,1.22,2.25,0,0,0,354.39,0,0,0,0,3.13
 60-70,0,1.51,0,793.33,0,0,12.91,0,0.95,0,0,1.13,0,6.22,16.2,2.41,0,0,2252.66,0.65,10.04,0,3.8,0.59,1.45,0,305,1.61,0,2.79,0,5.75
 72-82,0.5,3.52,13.54,1347.24,0,1.41,33.33,1.26,0,1.63,4.71,0,0,0,15.56,0,1.07,1.92,2157.05,0,20.17,0,1.97,0,0,0,164.04,5.05,0,5.23,0.52,0
 84-94,0.84,13.73,8.04,989.62,0.56,0,21.54,2.91,0,0,0,0,0,0,10.02,0,0,2.99,1338.03,0,9.02,0.69,16.63,0,0,0,129.82,3.23,2.27,0.94,0.77,1.57
 96-106,0,13.18,8.69,896.47,0,0,46.81,2.53,0,1.69,0,0.71,23.13,0,9.49,0,0,0,1255.88,4.18,7.92,1.18,12.39,0,0.6,0,77.43,0.88,2.06,6.07,2.88,0
108-118,0,11.65,2.87,666.28,5.25,0,30.48,1.35,0,1.55,0.63,0,0.83,0,26.73,5.42,0.91,0.52,1293.77,0,16,5.66,1.19,0.66,0.69,0,47.68,3.87,1.1,9.39,0,0.49
120,0,22.23,0,669.05,0,0,53.48,4.37,16.95,1.69,0,0,0,0,7.03,0,0,2.7,1791.5,0,22.78,13.55,3.27,0,0,0,94.73,2.83,0,0,8.42,0
