stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,25.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.07,0,0,0,0,0,0,0,0
  5-6,0,6.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.62,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.21,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.71,4.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,2.27,0,0,8.72,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0,108.26,0,1.51,0,0,0,0,0,69.43,0,0,0,0,0
 24-34,0,0,1.39,0,0,0,0,8.58,0,0,0,0.97,0,0,2.35,0,0,0,0,0,0,2.73,0,0,507.24,0.93,0,0.66,0,0,0,0.93,141.78,0,0,0,0,0
 36-46,0,0,0,0,2.01,0,0,15.17,0,1.39,0,13.95,0,0,0,0,0,0,0,0,17.16,0,0,0.56,1400.42,0,0,0,0,0,0,0,245.03,0,0,5.92,0,0
 48-58,0,0,0,0,14.17,0.42,0,165.54,1.63,1.55,0,30.15,0,0,0,8.03,0,0,0,0.99,0,12.72,0,0.88,2486.39,0.88,1.25,6.46,0,7.72,1.45,0,395.44,0,0,0.76,0,0
 60-70,0,0,7.65,0,1.54,0,0,365.07,0.58,0,1.24,52.72,0,5.9,0,0,0,0.89,0.7,0,0.73,21.61,0,1.62,3917.41,0,6.38,0,0.96,1.31,0,0,549,0,1,8.01,0,15.85
 72-82,0,0,1.28,0,5.99,0.55,0,511.45,0,0,1.04,70.25,1.72,0,0,3.88,0,0,0,0,0.5,25.28,7.79,4.78,3100.02,1.92,3.62,1.21,0,0.94,1.58,0,332.83,0,2.08,0,0,0
 84-94,0,0,0.66,0,8.13,2.17,0,316.19,0,1.35,0,56.18,5.56,0,0,0,0,2.36,0,0.89,0,39.15,0,2.08,1955.93,0,0,0,0,7.72,0,0,254.6,4.3,3.96,0.58,0,0.7
 96-106,0,0,0,0,14.17,8.76,0,336.73,0,0,0.86,47.47,1.11,0,1.61,0,0,0,0,5.88,0,23.68,1.7,0.78,1674.55,1.87,1.13,0.63,0,5.22,0.68,0,86.33,0,0,0,0,4.25
108-118,0,0,0.71,1.16,7.29,2.72,0.45,351.97,2.6,0,2.53,47.19,0,0,1.61,0.8,0.44,5.81,0,0.55,1.8,14.15,0,4.27,1822.24,0,1.47,0.52,0,3.61,0,0,74.5,0.71,0,2.06,0.57,4.66
120,0,0,2.96,0,17.08,0,13,439.69,0,0,0,136.94,10.25,0,4.47,6.17,0,3.86,0,9.22,0,58.25,15.43,1.82,4287.24,3.33,0,9.23,0,2.43,3.05,0,195.7,0,0,6.08,0,0
