stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.1,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,22.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.38,12.48,0,0,4.16,0,0,0,0,0,0,0,0
 14-21,0,2.13,0,19.11,0,0,1.02,0,0,0,0,0,7,0,0,0.87,76.3,0,0,0.89,0,0,1.46,0,3.56,0,0,0,0
 24-34,0,0,0,77.79,0,0,6.53,0,7.03,0,0,0,28.76,0,0,5.05,278.64,0,0.67,2.38,0,0,0,0.76,22.18,0,0,0,0
 36-46,0,5.01,2.92,94.79,3.05,0.8,19.28,0,1.19,0,0,0,22.61,0,0,3.63,242.66,0.56,0,2.36,0,0,0,1.82,27.7,0,0,0,0
 48-58,0,0,0,178.49,0.38,0,28.96,0.5,1.11,0,0,0,34.67,0,0,7.54,168.38,0,0,1.85,0,0,0,2.61,57.55,0,0,1.31,0
 60-70,0,1.97,0,476.47,0,9.26,23.14,0,0,0,0,1,29.51,0,7.48,0.57,145.39,0,0,0,0,0,0,0,20.98,0,0.86,0,0
 72-82,0,1.38,0.55,278.24,0,0,20.52,0.88,0.81,0,0,0,31.28,0,0,6.23,67.06,0,0.93,4.15,0,0,0,2.68,25.39,1.36,0,0,2.99
 84-94,0,0,0,237.36,0,0,18.92,0,0,0,0,0,17.1,0,0,0,46.59,0,0,0,0,0,0,0,16.01,0,0,0,0
 96-106,0,1.62,0,173.16,0,0,9.25,0,0,0,0.66,0,10.2,0,0,0,29.25,0,1.09,2.14,0,0,0,1.48,0.86,0,0,1.97,0
108-118,0,1.3,0,300.59,0,1.59,10.12,0,0,1.16,0,0.69,14.58,1.09,0,0,58.07,0,0,0.48,0,5.65,0,0,1.73,0,0,0,0
120,0,0,0,190.66,0,0,10.49,0,0,0,0,0,32.05,0,19.96,0,99.13,0,0,0,0,0,0,0,0,0,0,0,0
