stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.46,1865.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.42,0,0,0,0,0,0,0,0,0,0
  5-6,67.53,978.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0
  7-9,21.44,8.24,0,18.22,0,0,0,30.3,0,0,0,0,0,21.74,0,0,0,0,0,0,0,0,0,0,0,334.69,10.69,0,0,60.13,5.78,12.57,0,0,0,0,0,0,0,0,0
 10-12,0,4.57,0,26.8,0,0,0,8.16,0,0,0,0,0,65.06,0,0,0,0,0,0,0,0,0,0,0,540.65,7.72,0,0,48.13,7.15,10.94,0,0,6.84,0,0,0,0,0,0
 14-21,0,0,1.38,0.98,295.57,7.29,0,1.56,0,4.83,0,1.34,6.2,0.81,0,8.46,0.8,0,1.77,0,0,11.91,0,0,6.28,49.97,19.81,0.98,1.88,1.23,25.48,1.54,8.96,8.4,2.12,29.59,0,0,0,0,0
 24-34,0,0,1.56,1.22,128.27,2.49,0,5.03,0,15.54,0.72,1.88,2.96,0,0,42,7.93,0,15.01,0,0,4.83,4.67,0,7.61,55.96,2.13,14.98,4.22,0,53.58,0,0,1,1.65,11.54,0,0,1.03,0,2
 36-46,0,0,0.98,0.56,82.89,0,0,4.06,0,8.84,0.65,1.97,0.72,0,0,34.72,5.91,0,4.52,1.34,0,11.75,0.56,1.73,3.05,64.98,4,17.02,1.56,0,123.89,0.78,0,0,0,10.57,0,0,4.21,0,6.16
 48-58,0,0,0,0,41.5,0,0,10.6,3.61,12.09,0,1.9,0,4.6,0,32.26,0.57,0.92,4.09,2.43,0,7.85,0.37,0,1.11,35.87,1.73,2.37,4.22,0,40.34,0,0,0,0,9.55,0,0,7.1,0,6.17
 60-70,0,0,0.7,0,39.88,0.57,0,7.81,0,8.6,6.3,10.76,4.46,2.97,0,33.09,0,0,4.83,1.34,0,15,7.64,1.5,0,14.64,0.7,7.11,8.28,0,54.12,0,0,0.62,0,0,0,0,0.59,0.9,4.96
 72-82,0,0,2.87,0,40.66,21.09,0,5.55,0,11.4,0,3.07,3.92,0.55,1.73,57.36,1.97,0,9.67,4.27,0,22.56,5.55,2.37,2.56,36.14,0,7.2,1.03,0,31.62,0,0,0,0,7.68,2.73,0,6.47,0.77,0
 84-94,0,0,0,0,74.7,1.21,0.76,2.86,0,15.86,0.75,3.99,8.85,5.01,0,119.13,5.55,0.68,9.63,2.15,0,18,5.91,2.35,0,36.92,1.51,4.11,6.43,0,84.86,0,0,2.76,0,6.61,4.25,0.58,3.66,1.17,0
 96-106,0,0,3.53,0,64.99,3.2,1.07,7.2,0,12.34,0.81,2.06,21.29,0,0,110.15,6.16,0,7.58,11.8,0,17.13,8.65,0,4.41,22.1,0,21.2,15.71,0,87.79,3.39,0,0,0,0,1.59,0.75,4.18,1.16,0
108-118,0,0,2.6,0,64.56,1.76,9.21,12.56,0.98,31.76,3.27,7.66,19.87,0,0,112.8,12.87,2.28,3.34,8.65,6.03,35.23,5.57,1.11,3.76,35.83,4.64,16.94,6.59,0,54.04,0,0,0.42,0,1.99,19.67,0.99,10.01,1.72,3.59
120,0,0,1.22,0,90.46,0,0,4.32,0,19.53,5.27,1.43,7.25,0,2.09,146.19,3.64,0,1.12,1.12,0,13.31,5.29,0,5.49,57.9,9.89,1.26,8.09,0,30.06,0,0,0,0,0,1.12,0,0,0,0
