stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.41,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.99,9.19,0,6.78,0,0,2.22,0,0,0,0,0,0,0,0,126.07,0,6.01,7.8,0,0.91,0.89,0,1.02,27.46,0,2.4,0,0
 24-34,2.09,0,6.49,0,26.67,0,0,0,0.92,0,0,0,0,0,0,5.27,55.73,0,30.22,29.01,2.73,0,0,2.24,0,104.89,0,1.58,0,0
 36-46,0,0,1.44,0,88.92,0,0,1.28,1.33,0,0,0,0.77,0,0,0,71.02,0,15.95,12.63,0,0,0,2.87,0,44.23,0,0,0,0
 48-58,0,0,2.64,0,121.46,0,0,2.98,0,0,0,0,1.36,0,9.46,1.02,52.35,0.96,8.8,10.89,0.58,0,0,0,0,59.8,0,0,0,0
 60-70,2.91,0,0,0,84.89,0,0.84,19,4.1,0,7,0,0,0,18.25,0,37.47,0,17.46,20.34,0,0,0,0,0,12.12,0.61,0,0,0
 72-82,22.76,0,4.46,0.85,48.4,0,0,0.66,6.61,0,0,0,3.23,1.03,10.14,0,29.49,0,17.59,33.55,0,0,0,0,0,9.96,0,0,1.27,0
 84-94,5.95,0,2.19,0,48.76,0,0,6.02,7.84,0,0,0.62,0,0,2.48,0,67.88,0,12.53,35.12,0.56,0,0,2.2,0,10.97,0,0,0,0
 96-106,17.48,0,0,0,21.97,0.69,0,3.66,5.43,0.66,0.82,0,1.3,0,0,0,27.94,0,6.34,27.8,1.94,0,0,0,0,0,2.04,0,0,0.8
108-118,7.75,0,0,0,15.29,0.7,0,7.12,2.19,0,0,0,1.25,0,0.48,0.63,50.36,0,9.52,15.35,2.98,0,0,0.58,0,2.91,0,0,0,0
120,54.76,0,1.42,0,38.92,0,0,0,10.57,0,0,0,0,0,5.17,4.34,23.87,0,22.76,55.4,0,0,0,0,0,0,2.24,0,0,0
