stage,axial,blastomeres,endoderm,eye,hatching.gland,neural,paraxial.mesoderm,periderm,pgc
  3-4,117.57,1822.96,0,0,0,0,0,137.09,0
  5-6,111.25,1263.33,21.41,0,0,33.2,0,7.86,0
  7-9,3.27,5.04,4.61,0,5.83,65.89,24.86,0,12.28
 10-12,0,0,11.19,3.73,0,6.46,14.82,0,0
