stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,224.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,7.18,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.71,0,0,0,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,28.9,6.48,0,0,36.8,0,31.65,18.23,0,0,0,0,0,0,0,0
 10-12,16.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.14,11,0,0,11.26,0,15.11,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.86,0,0,0,0,0,0,1.07,0,0,0,8.56,0,0,0,0,1.01,1.87,0,0,2.82,0,0,0,0,0,322.66,0,0,0,0,0,0,0,0,0
 24-34,0,0.65,0,5.71,0,2.06,0,0,0,1.31,0.82,0,0,0.6,21.5,0,0,0.96,0,2.22,2.05,0,0.8,27.92,0,2.19,2,0,0,478.73,0,0,0,6.7,0,0,3.38,0,0.63
 36-46,0,0,0,0.77,0,2.98,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,16.97,0,1.39,23.32,0,5.15,6.31,0,0,428.51,0,0,0,4.63,0,0,0,0,0
 48-58,0,0,0,9.56,0,35.41,2.98,0,0.42,0.88,0.38,0,0,0,1.47,2.3,0,0,0,0.81,0,0,0,23.74,0,4.82,0,0,0,316.91,0,0,0,13.25,0,0,0,0,0
 60-70,0,0,0,27.06,0,100.73,0,2.13,0,6.39,0,0,0,0,12.73,1.32,0,0,0,5.05,0.73,0,0,29.98,0,0.68,0,0,2.87,238.12,0,1.17,0,3.07,0,0,0,0,0
 72-82,0,0,0,32.85,0,149.32,0,1.6,0,20.1,0,1.02,0,0,12.79,9.49,0.65,0,0,4.62,1.1,0,0.71,18.13,0,0.49,0,0,1.2,190.47,0,0.49,0,3.79,1.54,0.75,0,0,0
 84-94,0,0,0,39.98,2.16,290.88,0,1.48,0,22.99,0,0,0,0,16.76,2.57,0,0,0,1.34,2.43,2.23,1.66,22.46,0,6.3,0.88,0,0,366.99,0,1.17,2.75,1.27,1.59,1.03,0,1.97,1.81
 96-106,0,0,0,35,2.15,464.33,0,8.9,0,26.81,7.26,0,3.1,0.74,27.05,0,0,0,0,11.14,4.24,1.14,0,62.15,0,13.29,0,0,0,499.37,0,0,0,0,1.68,0,0,1.5,0
108-118,0,0,0,47.66,0,515.35,0,1.98,0,21.49,2.98,0,0,0,15.56,0,0.92,0.51,0.54,3.67,2.68,0,2.87,28.09,0,3.02,0.91,0,0,332.75,0,0,0,7.43,0.45,0,0.93,0.6,7.11
120,0,0,0,75.12,0,315.4,0,16.3,0,49.29,3.44,0,0,1.29,16.95,0,0,0,0,0,0,0,0,65.77,0,15.71,7.95,0,0,307.93,0,0,0,0,0,2.35,0,0,0
