stage,axial,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8,0,0,0,0,0,0,0,0
  7-9,9.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,3.78,0,0,0,0,0,0,0.67,0,3.23,0,0,0,0,0,0,0,0.61,9.2,0,0,10.25,1.32,1.59,0,1.06,0
 36-46,0,0,0,2.5,0.57,0,0,0,2.84,0,0.62,0,0,0,0,0,0,0,0,6.54,0,0,33.2,0,0,0,0,0
 48-58,0,0.39,0,3.95,0.85,0.51,0.65,0,0,0,1.54,0,0,0,0,2.36,2.15,0,0,12.5,0,0,88.24,0,0.81,0,1.82,0
 60-70,0,0,0,4.27,3.51,0,0,0,0.76,0,0,0,0,0,0,7.99,0,0,0,5.76,0,0,117.73,0,1.22,0,0,0
 72-82,0,2.41,0.58,4.3,1.76,0,0,0.68,0,0,3.87,0,0,0,0,7.98,1.07,0,0,10.15,1.98,0,211.16,0,2.94,0,0.98,0
 84-94,0,3.39,0.61,3.33,4.35,0,1.86,5.26,0,0,4.62,0,0,0,0,3.83,0.65,3.53,0,5.74,2.5,0.55,335.84,1.26,0,0,0,0
 96-106,0,30.07,0,29.32,10.11,0,4.61,15.76,0.92,0,16.42,0.71,5.55,0,0.65,4.19,9.38,0,1.82,33.16,2.21,0,810.9,0,0.57,0,0,0
108-118,0,35.39,0.95,15.24,9.38,0,5.35,12.78,0,1.55,19.16,0,0,0.42,0,3.99,7.96,1.21,0,21.47,3.72,0,472.58,0,0,2.29,1.17,0.58
120,0,21.34,0,0,7.4,0,15.88,29.54,0,0,16.41,0,0,10.24,0,0,1.46,0,0,17.76,4.18,0,484.52,0,0,0,0,0
