stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,80.77,2668.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.65,0,0,0,0,0,0,0,0
  5-6,100.17,1840.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.34,0,0,0,0,48.25,0,0,0,0,0,0,0,0
  7-9,4.2,21.32,27.34,0,0,15.19,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,207,6.39,0,99.06,0,0,25.69,0,0,0,0,0,0,0
 10-12,0,0,64.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.64,0,0,9.57,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,6.31,0.9,0,0,0,0,0,0,0,1.45,0,0,0,0,0,0,5.95,0,8.45,5.53,8.63,0,0,0,0,0,1.21,0,4.76,0,2.44,0,0
 24-34,0,0,0,5.41,0,2.04,0,0,0,1,0,0,1.04,0,0,0,0,1.32,0.97,27.51,0,5.21,18.32,0,0,0,0,0,0,0,0,2.95,0,22.79,0,0
 36-46,0,0,0,2.33,0,8.2,1.14,0.58,1.27,4.23,0,0,3.84,0,0.77,0,0,0,0.61,39.59,0,4.43,12.13,0,0,0,0,0,0,0,0,10.82,0,17.66,0,4.11
 48-58,0,0,0,5.87,0,10.16,0,0.77,0,3.57,0,0,1.82,0,0,0,0,1.39,2,22.15,0,6.51,42.41,0,0,0,0,3.85,0,0,0,4.69,0,7.68,0,1.55
 60-70,0,0,0,2.4,0.67,4.44,0,1.4,6.52,2.94,0,0,0,0,0,0.6,0,2.31,6.38,66.98,0,3.9,52.26,0,0,0,0,0,0,0,0,5.98,0,16.17,2.92,1.7
 72-82,0,0,0,2.32,1.75,10.1,0,0,1.04,2.96,0,0,4.09,0,0,2.96,0.68,0,0,44.71,1.15,3.27,58.93,0,0,0,0,0.56,0,0,0,7.47,3.22,10.61,1.78,3.69
 84-94,0,0,0,6.94,0.86,8.42,0,3.34,2.46,14.7,0,0,0.78,0,0,2.12,0,0,0.67,58.56,0,4.87,50.14,0,0,0,0,0,0,0,0,6.34,2.25,9.77,0.98,0.59
 96-106,0,0,0,6.31,0,8.13,0,2.63,2.11,5.02,0,0,0,5.65,0,1,0,0,0.6,66.26,4.02,0.9,72.28,0,0,0,0,0,0,0,1.71,7.45,0,8.36,0,3.32
108-118,0,0,0,8.8,1.28,1.18,0,7.35,0.8,9.48,0,0,1.81,0,0,5.64,0,0,0,53.44,2.86,2.63,75.32,0,0,0,1.1,0,0,0,0,5.14,2.33,27.09,0,4.11
120,0,0,0,12.74,5.63,6.84,0,7.99,3.89,0,1.24,0,0,0,0,0,0,0,1.33,41.94,0,2.54,130.35,0,6.31,0,0,0,0,0,0,4.03,3.79,1.96,2.27,4.74
