stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,358.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.57,0,0,0,0,0,0,0,0
  5-6,26.96,216.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.58,0,0,0,0,0,26.08,0,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0,46.06,0,0,0,12.46,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,47.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.43,13.61,0,0,0,5.07,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.67,7.11,5.35,1.72,0,0,0,0,0,0,43.37,0,0,0,0,0,5.14,19.15,0,0,12.95,28.96,13.06,0,0,17.11,0,0.86,782.42,15.44,14.4,0,2.51,0,10.36
 24-34,0,0,1.14,2.04,0.62,0.87,6.74,0,1.53,0,0.81,0,0,74.7,0,1.17,11.61,0,0,53.42,12.44,0.63,0,16.18,102.76,0,0,0,0,4.59,0,443.41,7.81,19.46,0,15.03,0,63.62
 36-46,0,0,0,0,2.15,0,4.15,0,0.62,0,0,0,0,81.16,0,0,0,0,0.67,309.16,12.54,0,0,17.34,104.75,0.97,0.56,0,0,3.33,0,161.64,0,13.72,0,9.66,0,177.09
 48-58,0,0,0,0,0.44,0,25.1,5.29,0,0,5.03,0,0,41.09,0,0,0,0,0,161.41,12.03,0,0.6,8.13,109.8,0,0,0,0,7.87,0,61.3,0,17.9,2.22,5,0,76.92
 60-70,0,0,0,0,1.5,0.75,35.27,56.69,0,0,3.46,0,0,30.86,0,0,1.39,0,0,81.05,11.62,0,0,7.01,63.63,0,0,0,1.62,3.6,0,37.16,0,12.52,1.5,4.31,0,120.43
 72-82,0,0,0,0,2.1,0,124.09,51.48,0,0,7.15,0.54,0,8.46,0,1.39,0,0,0,75.31,15.28,0.78,1.81,20.07,73.71,0,0,0.68,0,3.43,0,17.46,0,1.99,9.23,5.59,0,35.31
 84-94,0,0,1.29,0,5.82,0,158.6,134.26,2.27,0,4.85,0,0,32.04,0.56,0,6.89,0,0,71.43,10.69,0,0,9.39,72.72,0,0,0,0,0,0,20.15,0,6.14,7.49,12.79,0.98,43.56
 96-106,0,0,0,0,2.3,5.74,158.39,158.41,0,0,4.92,2.82,0,77.97,0,0,4.02,0.78,5.68,34.52,13.08,0.68,2.9,16.08,77.57,0,0,4.15,1.2,5.21,0,35.7,0,0,0,2.59,0,0
108-118,0,0,0,0,1.5,3.46,198.21,151.63,0.42,0,12.19,0.5,0,75.71,0,0,18,0,0,20.63,19.03,0,2.22,1.1,48.03,0,0,5.67,0,2.51,0,21.33,0,9.91,2.84,4.31,0,1.72
120,0,0,0,0,16.88,0,303.61,173.63,0,6.63,20.83,0,0,21.42,0,0,4.53,0,0,3.06,18.88,0,3.62,4.92,111.94,0,0,3.62,0,0,0,8.78,0,16.8,0,7.9,0,0
