stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,17.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.84,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,15.7,0,0,0,0,0,0,0,0,0,0,3.05,0,10.26,3.95,0,0,0.8,0,0,2.43,1.07,0,1.07,0
 24-34,0,0,0,0.98,8.13,0,0,0.71,0,0,1.01,0,0,1.02,0,33.57,0,14.4,30.41,0,0,0,0,0,1.4,2.89,0,4.21,0
 36-46,0,0,0,0,9.67,0,3.04,0.79,0,0.92,0.56,0,0,0,0,26.11,0,7.39,18.72,0,0,0,0,0,0,7.43,0,2.48,0
 48-58,0,0,0,0,0.54,0,2.06,0,0,0.66,0,1.53,0,0,0,52.73,0,5.89,34.59,0,0.39,0,0,0,0,5.84,0,0.75,0
 60-70,0,0,1.14,0,4.01,0,23.92,1.41,1.48,1.22,0,0.75,0,0,0,62.01,0,8.65,10.94,0,0,0,0,0,0,0.87,0,0,0
 72-82,0,0,0,0,0.52,0,9.46,0.64,1.82,3.53,0,0,0,0,0,43.92,0,5.76,2.55,0,0,0,5.7,0.57,0,0,1.01,2.99,0.54
 84-94,0,0,0,0,3.33,0,11.2,3.97,0,2.37,0,0,0,0,0,42.8,0,4.3,15.96,0.56,2.38,0,0,1.67,0,0,0,1.5,0
 96-106,0,0,0,0,8.28,0,1.08,5.58,1.65,2.33,0,0,0,0,8.17,48.23,0,4.26,6.02,0,0,0,0.9,0,0,2.33,1.08,2.42,0
108-118,0,0,0,0,5.93,3.31,4.55,1.48,0,0,0,0,1.23,0.42,1.57,65.47,2.89,8.63,19.25,0,2.36,0,0.56,0.42,0,0,0,1.77,0
120,0,0,0,0,6.57,0,2.23,1.41,0,0,0,0,0,7.01,0,52.34,6.62,0,20.25,0,6.96,0,0,0,0,0,0,0,0
