stage,epidermis,eye,glial,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pgc,spinal_cord
  7-9,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.43,0,0,0,0,0
 14-21,0,0,2.74,0,0,0,0,0,1.83,1.16,0,0,0,11.22
 24-34,0,0,13.66,0,0,0,0,0,26.93,1.56,0,0,0,23.42
 36-46,0,3.15,41.52,0,0,0,0,0,38.89,4.65,0.72,0.69,0,23.22
 48-58,0,6.36,77.71,0,0,0,0,0,23.74,0.57,0,0,0,81.8
 60-70,0,0.72,184.4,0,0,0.64,0,0,7.09,0.98,0,0,0,34.76
 72-82,0,6.8,255.45,0,0,1.23,0,0,39.83,1.68,1.39,1.82,0,49.13
 84-94,0,7.73,179.03,0,0,4.97,0,0,19.86,0,0,0.64,1.4,34.96
 96-106,0.94,3.43,255.69,1.14,0,2.55,1.42,2.11,18.88,0,0,1.34,0,27.31
108-118,0,5.81,248.12,0,0.43,0.53,0.5,0,8.11,0.56,0,3.19,0,26
120,0,41.68,384.25,0,0,15.92,0,0,32.39,7.66,0,3.12,0,32.4
