stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,146.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,75.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.64,0,0,0,6.88,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,9.14,3.56,0,0,0,0,0,10.61,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,39.53,0,0,4.27,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.61,3.55,0,0,0,0,0,0,0,0.81,0,0,0,0,0,4.55,0,0,9.8,54.35,2.93,2.05,1.1,0,0,7.3,0,0,0.86,0,4.93,34.94,0,0,1.5,0
 24-34,0,0,8.92,0.81,11.96,0,0.68,0,5.13,0,0,0,0.69,0,0,0,0.73,20.35,0,0,3.38,290.02,2.28,15.45,1.33,0,0,6.7,0,0.85,1.08,0,0,130.18,0,0,0.79,0
 36-46,0,0,5.61,0,19.07,0,0.57,0.81,8.68,0,0,10.12,3.4,0,0,0.61,0,23.49,0,0,1.88,617.68,2.46,6.16,0,0,0,13.11,0,0,0.86,0,0,186.54,0,0,6.4,0
 48-58,0,0,8.72,0,143.57,0.51,0,3.31,24.09,5.67,0,2.26,0.48,0.44,0,0,1.54,31.76,0,0,2.84,871.65,4.29,9.37,2.7,0,0,8.16,0,0,0,2.52,0,192.97,0,0,1.98,0
 60-70,0,0,25.25,3.84,172.44,0,0,0.85,14.63,4.27,0,0.59,2.05,0,0,1.13,0,45.44,1.41,9.11,6.31,815.88,0,19.42,11.9,0,0,13.74,0,0,0,0,0,158.97,0,0.94,0.83,0
 72-82,0,0,8.27,0,234.57,0.55,2.5,3.89,44.21,4.15,0,4.45,5.85,0,0.57,0,0,119.66,0.58,0,19.74,711.51,0.58,15.82,3.17,0,4.66,15.08,0,0,0,0,0,94.12,3.52,2.09,6.56,0.86
 84-94,0,0,1.57,0,118.89,0,1.24,6.88,20.71,1.21,0,0,4.33,0,0,1.03,0,61.69,0,0,5.5,274.26,0,4.37,3.33,0,0,9.02,0,0,0.67,0,0,30.92,0,3.39,0,2.06
 96-106,0,1.1,7.35,0,100.59,0,0,1.88,16.02,0.74,0,0,3.49,0.93,0,4.14,0,80.61,0,0,3.83,290.73,2.25,16.14,0.57,0,9.15,6.23,0,0,0,0,0,28.01,2.06,5.9,3.91,0.89
108-118,0,0,6.45,0.6,91.25,0.64,1.02,2.85,25.75,2.95,0,1.87,3.48,0,0,3.51,0.41,61.89,0.53,3.67,3.65,318,1.83,8.44,3.86,0,1.23,13.17,0,0,0,0,0,9.54,0.43,2.54,6.8,0.89
120,0,0,20.36,0,208.7,0,1,0,90.78,1.73,0,14.18,9.75,0,0,0,0,82.94,0,0,4.71,775.43,2.06,34.39,0,0,12.66,3.4,0,0,0,0,0,29.94,15.1,8.19,0,8.87
