stage,axial,blastomeres,erythrocytes,eye,hatching_gland,neural,periderm,presomitic_mesoderm,xanthophores
  3-4,21.72,42.24,0,0,0,0,0,0,0
  7-9,0,0,0,0,22.01,0,0,0,0
 10-12,0,0,0,0,23.07,5.17,0,0,0
 14-21,0,0,0.97,0,48.54,3.59,6.34,1.16,0
 24-34,0,0,0,0.7,16.52,2.8,0,0,0
 36-46,0,0,0,0,3.87,3.37,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.54
 60-70,0,0,0,0,0,0,0,0,0.96
