stage,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,gut,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  5-6,12.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.99,0,0,5.3,0,0,0,0
 10-12,0,8.07,0,0,0,0,0,0,0,0,0,17.82,7.65,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,9.76,0,0,0,0,2.18,0,3.1
 24-34,0,0,0,1.4,0,0,0,0,0,0,0,9.98,0,1.01,0,0,0,0.64,2.73
 36-46,0,0,0,0,0,0.97,0,0,10.34,0,0,4.89,0,0,0,2.57,0,0,0.73
 48-58,0,0,0,3.35,0,0,0,0,0,0.38,0.84,6.82,0,0,0,0.67,0,0,0
 60-70,0,0,0,9.54,0,2.15,0,0,0,2.56,0,12.27,0,0,0,0,0,0,2.42
 72-82,0,0,0,0.65,0.6,0,0,0,0,0.82,0,4.77,0,0,0,0,0,0,0
 84-94,0,0,0.68,4.65,0,0,0,0.91,0,0.83,0,5,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.32,0,0.61,2.79,6.6,0,1.59,0,0,0,3.53,0,0,0
120,0,0,0,1.11,0,0,2.68,0,0,0,0,29.62,0,0,0,0,0,0,1.75
