stage,axial,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,iridophores,mesenchyme,neural,notochord,periderm,spinal_cord,vasculature
  3-4,0,10.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.74,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.66,0,0,0,0,3.65,0,0,0
 14-21,0,0,0,0,0,0,0,0.96,0,0,0,4.11,0,0,0.89,0
 24-34,0,0,0,0.63,0,0,0,0,0,1.06,1.01,1.82,0,0.76,0.94,0
 36-46,0,0,0,0.82,0,0.62,0,0,0,1.49,1.35,0,0,0,1.29,0
 48-58,0,0,0,0.65,0,0,0,0,0,8.96,0.53,6.38,0,0,0,0
 60-70,0,0,0,10.04,0,0,7.66,0,0,19.33,2.68,18.4,0,0,1.87,0
 72-82,0,0,0,2.84,0,0,7.15,0,0,14.39,2.82,9.37,0,0,3.04,0
 84-94,0,0,3.96,1.72,0,1.93,15.73,0,0,3.19,7.27,3.23,0,0,0,1.24
 96-106,0,0,0,0.97,0.84,0,9.4,0,0.78,4.02,3.05,5.52,0,0,0,0
108-118,0,0,0,0,0,0,14.86,0,0,5.75,6.33,4.39,0,0,0,0
120,0,0,3.3,0,0,0,5.8,0,1.23,2.7,0,2.21,0,0,0,0
