stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,146.64,3236.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,52.19,946.83,0,0,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,0,0,33.56,0,0,0,0,0,13.34,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,28.01,11.8,0,0,0,42.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712.21,0,0,0,85.13,0,0,5.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,75.62,56.91,0,0,0,57.49,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,1820.93,95.4,0,0,282.14,0,0,25.94,0,4.44,0,0,0,0,0,0,0,0
 14-21,0,0,10.32,121.24,9.64,0,71.54,0,0,0,34.39,7.95,0,0,0,1.58,0,0,1.46,0,254.58,0,0,274.09,1214.7,274.37,0,3,10.42,0,11.16,2.28,31.08,12.6,12.73,46.83,346.56,0,0,0,0,0
 24-34,0.88,0,5.79,27.27,3.93,0,80.89,0,6.36,49.9,34.18,0.89,0,2.6,0,1.65,0.83,0,17.57,0,1059.13,0,0,843.68,1382.14,259.15,1.71,3.6,0,0,17.42,0,9.65,4.35,1.03,42.58,319.74,0,0,11.63,0,0
 36-46,0,0,0.74,5.59,0.58,0,48.37,1.5,6.99,205.35,82.84,0.66,0,7.03,1.03,0,1.76,0,0.77,0,1637.87,0,0.8,663.19,744.53,231.25,0,2.36,0,4.12,34.13,0,2.57,4.34,0,0,235.14,0,1.23,3.6,0,9.14
 48-58,0.58,0,0,7.3,1.51,0,88.28,0,62.39,282.31,159.32,0,0,9.66,0,0,5.72,0,0,0,2095.7,0,4.16,452.09,488.93,233.81,1,5.03,3.66,0,23.45,0,0,2.5,0,0,176.64,0,2.64,5.2,1.4,0.38
 60-70,0,0,0,23.68,0,0,96.08,0,16.2,284.4,483.4,1.93,0,5.61,0,9.74,3.3,0.61,0,0,2406.97,0,17.56,221.94,447.67,93.01,0,11.02,0,7.22,18.96,0,0,0,0,0,108,0,4.92,10.79,5.48,0
 72-82,0,0,0.56,17.19,3.99,0,258.65,1.33,12.52,311.14,995.25,7.9,0,18.71,1.6,1.73,13.54,0.88,1.36,0,3968.2,0,35.43,260.37,586.88,79.01,2.77,21.77,0,31.82,17.95,0,0,3.59,1.06,0,129.25,0,44.16,15.57,34.75,3.62
 84-94,0.62,0,0,21.8,4.64,0.92,306.79,1.34,6.7,188.03,881.07,2.05,0,16.47,0.95,1.56,5.57,1.91,5.44,0,3453.58,0,64.04,203.38,523.31,75.24,0,26.24,0,22.77,51.16,0,0,8.86,0,0,107.78,1.57,27.79,7.74,35.25,0
 96-106,0,0,0,37.76,0.81,0,299.55,3.39,2.65,144.21,1194.93,4.09,0,16.45,3.32,1.57,3.57,1.2,22.02,0.86,2971.12,0,50.4,121.41,513.02,61.99,2.29,23.65,0,28.47,34.57,0,0,7.82,0,0,126.8,0,25.34,9.24,47.56,7.66
108-118,1.01,0,0,18.78,3.2,16.38,271.04,7.09,1.13,136.1,1131.44,16.05,0,13.14,1.74,0,13.73,0.65,10.21,0.59,2904.13,1.55,69.99,119.12,719.3,52.84,3.05,40.07,0,24.74,18.72,0,0,7.09,0,0,102.66,0,40.9,6.92,44.45,0
120,2.39,0,0,24.17,2.59,7.68,267.25,13.23,2.48,156.27,1178.36,2.89,0,23.08,8.8,0,1.91,1.69,0,0,2363.72,0,95.25,126.67,1434.92,70.49,0,9.18,0,26.05,20.42,0,0,0,0,0,120.11,2.31,8.13,5.77,70.03,0
