stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,277.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,119.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.86,4.37,0,0,0,0,17.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.27,0,0,0,0,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.23,4.64,0,0,67.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,6.09,2.13,3.87,0,0,0,0,0,0,0,0,0,0,0,25.67,0,0,6.58,25.33,0,0,0,0,0,0.99,0,4.21,0,0,1.18,9.46,0,0,0,0,0
 24-34,0,0,0,0,3.27,0,5.74,0,0,0.74,0,0,0,0,0,0,0,0,163.72,0,0,8.02,71.33,0.62,1.12,0,0,0,3.03,0,0,0,0.97,2.55,13.61,0,0,0,0,0
 36-46,0,0,0,0,0,0,6.84,0,0,0,0,0,7.61,0,0,0,0,1.15,439.22,0,1.66,41.22,35.63,0,0,0,0,0,2.15,0.81,0,0,0,0,3.77,0,0,2.84,0,0.96
 48-58,0,0,0,0,1.26,0,10.1,0,0,0,3.23,0,0,0,0,0,2.05,0,662.63,0,0,39.14,20.26,0,0,0,0,0,6.81,0,0,0,0,0,5.69,0,0,0,0,1.67
 60-70,0,0,0,0,3.97,0,13.8,0,0,0,2.26,0,2.87,0,0,0,0,0,963.28,0,0,33.29,61.8,0,0,1.01,0,6.37,3.99,0,0,0,0,0,9.18,0,0.79,0.83,0,7.85
 72-82,0,0,2.25,0,0,0,16.24,0,0,2.66,4.04,1.2,0,1.1,0,0,0,0,1306.86,0,0.77,26.24,60.49,0,0,1.67,0,0,1.16,0,0,0,0,0,0,0,4.85,0,1.28,13.6
 84-94,0,0,1.65,0,2.04,0,24.57,2.22,0,0,0,2.12,0,0,0.61,0,0,0,1122.19,0,1.3,28.85,27.13,0,0,0,0,4.17,1.12,0,0,0,0,0,10.22,0,17.83,0,0,10.89
 96-106,0,0,0,0,16.78,10.46,36.96,0,3.03,2.29,1.07,0,0,1.76,0,0,1.79,0,993.43,1.17,0,13.83,27.04,0,0,0.65,0,1.32,7.22,0,0,2.85,0.72,0,4.55,5.51,6.09,0,0,0
108-118,0,0,1.62,0,0,0,10.84,0,0,3.52,0,0.86,1.59,0,0.42,0.5,0.93,0,927.54,0,0,18.08,59.52,0,0,0,0,0,8.71,0,0,0,0,0,1.96,0,7.24,1.1,0,1.59
120,0,0,0,0,0,0,43.79,0,0,0,0,0,0,0,0,0,1.85,0,1088.35,0,0,34.47,46.9,0,0,8.73,0,0,2.37,0,0,0,0,0,11.27,0,0,7.84,8.22,0
