stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,15.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,17.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.2,0,0,3.35,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,41.05,0,0,0,9.32,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07,0,0,0,14.77,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.17,1.37,3.78,0,11.34,0,0,0,0,0,0,0,0,0,0.86,66.32,0,0,75.32,51.92,1.66,0,0,0,0,0,0.84,37.65,1.74,6.9,44.1,0,0,0,0,0
 24-34,0,0,3.28,0,1.38,1.39,11.37,1.38,2.85,0,0,0,4.52,0,0,0,4.07,258.27,0,2.43,190.19,251.78,2.26,1.86,0.62,10.77,0,1.41,0,134.69,2.49,0.66,76.17,0,0,0,0,0
 36-46,0,0,0,0,0,0,12.6,10.34,4.22,1.97,0,0,4.04,0,0,0,1.6,240.28,0,1.94,112.79,268.12,1.93,4.27,0,0,0,3.28,0,184.3,0,0,94.45,0,0,0,0.78,0
 48-58,2.3,0,1.9,0,1.47,2.18,99.77,1.12,12.43,1.22,0,0,1.83,0,0,0,14.5,313.33,0,7.9,67.69,331.08,14.12,0.76,0,0,0,4.79,0,64.64,0,0,54.91,0,1.99,4.06,0,11.78
 60-70,0,0,0,0,1.96,0,245.89,0,8.73,6.1,0,0,0.92,0,0,0,0.63,362.1,0,12.66,40.94,413.46,0,7.38,0,0,3.1,5.1,0,44.85,0,0,62.64,0,13.56,0,6.31,2.58
 72-82,0,0,0.87,0,2.78,0.49,326.97,0,7.07,13.28,6.66,0,0,0.83,0.7,5.24,8.97,468.33,0,37.36,36.22,418.09,0,11.73,0.81,0,1.54,5.06,0,17.24,0,0,43.04,0,23.86,13.01,21.45,14.94
 84-94,0,0,0,0,17.34,0,237.41,0,11.06,21.73,9.88,1.23,0,0.69,0,1.39,10.79,361.59,0,23.75,21.11,291.4,0,8.01,0,0,0,9.7,0,68.67,0,0,33.29,1.06,31.34,9.29,33.46,3.34
 96-106,0,0,0,0,12.59,0,290.24,7.01,4.91,13.67,11.56,0,0.97,1.6,0,0,6.17,357.2,1.41,15.25,6.28,318.75,0,21.34,0,0,9.48,11.33,0,53.95,0,0,27.16,0,25.66,0.69,23.32,0.8
108-118,0,0,9,0,18.38,0,298.36,0.45,3.78,37.7,17.96,0,1.99,0,0,0,4.96,388.98,0,9.48,21.31,369.51,0,9.72,4.56,0,14.95,10.41,0,56.38,0,0,16.45,0.89,41.25,3.77,28.35,0
120,0,0,11.35,0,9.29,0,410.58,4.33,22.04,65.57,44.21,0,8.57,0,0,0,0,442.88,0,9.82,21.07,480.82,4.62,34.69,11,0,17.18,8.74,0,40.44,0,0,21.84,0,26.49,2.95,14.37,0
