stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,325.23,6768.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.1,0,0,0,0,0,0,0,0,0,0,0
  5-6,480.14,9052.05,0,0,0,0,0,0,0,0,0,0,0,19.06,0,0,0,0,0,0,0,0,0,0,278.74,10.41,0,0,33.49,0,119,0,0,0,0,0,0,0,0,0,0,0
  7-9,130.09,188.36,0,219.23,0,0,0,462.24,0,0,0,0,0,95.65,0,0,0,0,0,0,0,0,0,0,4695.23,93.37,0,0,1341.31,0,32.7,22.1,0,0,0,0,0,0,0,0,0,0
 10-12,0,95.05,0,200.24,0,10.46,0,212.82,0,0,0,0,0,14.51,0,0,0,0,0,0,0,0,0,0,1630.15,28.72,0,0,664.01,0,21.73,0,4.36,69.39,0,0,0,0,0,0,0,0
 14-21,0,0,0,35.95,762.44,41.93,0,7.19,0,10.64,0,11.62,26,0,1.07,0,11.67,0,0,0,95.56,2.31,0,30.92,136.35,6.37,7.4,17.81,42.69,0,185.94,3.18,127.81,17.84,2.37,85.49,103.98,0,0,17.66,0,0
 24-34,0,0,0,7.54,193.64,4.11,0,14.17,0,24.5,1.22,12.8,9.69,0,3.44,9.4,18.57,0,2.63,2.05,61.4,10.83,0.81,25.99,180.22,0,20.57,23.24,0,0,354.57,0,0,15.13,0,2.78,73.85,0,0,31.68,0,0
 36-46,0,0,0,0.56,83.44,0,0,9.2,0,30.54,0,8.93,6.27,0,2.68,0,17.35,0,3.4,0.62,57.94,10.11,0.96,11.9,127.73,0,23.69,6.38,0,0,401.12,0,0,4.3,0,0,35.03,0,0,24.77,0,0
 48-58,0,0,0,0,62.47,0,0,14.63,0,30.39,3.84,11.74,3.54,7.3,7.07,2.21,2.41,0,6.62,5.16,76.01,1.79,1.02,9.04,95.03,0.45,9.03,13.17,0,0,226.63,0,0,2.76,0,0,24.28,0,0.51,13.02,0,0
 60-70,0,0,0,0,53.63,0,0,16.04,0,38.48,2.11,1.48,8.99,8.47,1.64,1.69,15.24,0,2.77,0,117.58,1.62,2.47,3.23,49.1,0.83,3.6,3.63,0,0,236.05,0,0,5.61,0,0,7.71,0.77,2.04,13.5,0,0
 72-82,0,0,1.19,0,57.55,1.15,1.86,26.97,0,21.5,1.01,27.91,13.11,2.35,9.86,6.02,14.04,0,10.81,1.08,151.64,7.14,4.82,4.87,59.1,0,24.52,8.67,0,0.72,122.61,0,0,5.21,0,0,8.31,6.97,1.01,26.29,4.53,0
 84-94,0,0,1.88,0,163.12,0,0,31.98,0,57.15,1.83,5,34.01,6.64,3.88,13.79,25.83,0,21.5,2.95,157.49,13.44,1.74,0,47.29,0,24.82,6.3,0,0,351.91,0,0,8.62,0,0,0,16.57,2.51,24.08,1.89,2.81
 96-106,0,0,2.62,0,127.14,1.29,0,36.62,0,32.53,0,3.21,50.89,0,7.61,15.2,39.63,0,11.28,16.17,109.69,24.13,1.11,5.86,45.57,0,30.26,8.15,0,4.08,301.93,0,0,1.71,0,0,4.34,24.09,0.72,41.01,1.13,0
108-118,0,0,3.12,0.61,159.62,0,0.75,28.77,0,83.98,2.65,6.38,65.67,0,4.5,16.57,50.56,0.91,15.01,5.87,198.21,19.35,0.72,3.61,84.96,1.44,26.67,11.78,0,0,285.47,0,0,1.15,0.57,0,5.21,20.59,2.74,25.7,2.94,0
120,0,0,5.69,4.41,145.74,3.81,0,17.81,2.05,47.83,0,3.12,48.48,0,11.23,26.17,38.32,0,18.83,10.52,203.04,12.79,0,0,59.86,6.07,34.61,0,0,0,209.99,0,0,6.33,0,0,0,14.61,6.25,71.37,8.36,0
