stage,blastomeres,endocrine.pancreas,epidermis,eye,gut,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste
  3-4,31.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.44,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,14.24,0,0,3.28,0,0,0
 10-12,0,0,0,5.97,0,0,0,0,0,0,31.52,0,0,0,0,0,0
 14-21,0,0.82,0,0,0,0,0,0,0,0.84,2.42,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0
 36-46,0,0,2.17,0,0,0,0,0,0,0,2.33,0,0,0,6.65,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,1.07,0.38,0,0.37,0.81,0
 60-70,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,5.14,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32,0,0
 84-94,0,0,1.18,0,0,0,0,0.83,0,0,0,1.91,1.19,0,0,0,0
 96-106,0,0,0.93,6.39,0.7,0,2.22,0,3.08,0,0,0,0,0,4.8,0,0.69
108-118,0,0,0.43,0,0,0.45,0,0,0,0,0,0,0,0,2.02,0,0
120,0,0,0,0,0,0,0,0,0,0,0,6.24,0,0,0,0,0
