stage,axial,blastomeres,endoderm,eye,fin_epithelia,glial,gut,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,14.56,155.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,204.52,0,0,0,0,0,0,0,0,20.87,0,0,0,15.19,0,0
  7-9,10.3,0,4.49,5.41,0,0,0,0,0,0,144.27,5.42,0,51.49,0,0,0
 10-12,0,6.45,0,0,0,0,0,0,0,0,138.58,0,0,26.6,0,0,0
 14-21,0,0,0,2.85,0,0,0,0,0,0,0.94,0,0.98,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.69,0,0,5.11,0,0,0,0,0.65,0
 36-46,0,0,0,0.87,0,0,0,0,0,0,4.36,0,0,0,0,0,0
 48-58,0,0,0,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.26,0,0,0,0,1.11,0,0,0,0.87,0,0
 72-82,0,0,0,3.8,0,0,0.71,0,1.88,0,3.38,0,0,0,0,0,0
 84-94,0,0,0,1.75,0,0,0,0,2.07,2.14,0,0,0,0,0,0.68,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1
108-118,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,0,0
120,0,0,0,0,10.7,0,0,0,0,0,0,0,0,0,0,0,0
