stage,axial,blastomeres,endoderm,eye,fast.muscle,glial,heart,ionocyte,liver,mesenchyme,muscle,neural,notochord,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,13.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.78,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3.17,1.13,0,6.95,0,1.23,1.75,0,0,0,0
 24-34,0,0,0,27.48,0,0,0,0,0,1.82,0,1.02,3.14,0,11.07,0.7,0,0,0,6.43,0,0
 36-46,0,0,0,18.32,0,0.62,1.94,0,0,0,0,0,2.63,2.85,20.31,0,3.54,0,0,1.02,0,6.73
 48-58,0,0,0.43,45.13,0,1.23,0,0,0,0,0,0.56,0.56,0,0.46,0,0,0,1.81,0,0,8.3
 60-70,0,0,0,72.42,3.06,0,3.33,0,0,1.45,0,0.84,0,0,6.29,0,0,0,0,0,0,0.72
 72-82,0,0,0,43.67,0,2.08,0,0,0,1.75,0.68,1.31,0.53,0,4.05,0,0,0,3.52,3.91,0,0
 84-94,0,0,0,35.62,3.76,1.33,0,0,0,2.21,0,0,0,0,3.19,0,0,0,0,0,0.81,0
 96-106,0,0,0,21.15,0,0,0,0.95,0,1.83,0,0,1.76,0,0.72,0,0,0,0,0,0,0
108-118,0,0,0,52.77,0,0,1.15,0,0,4.06,0,0,2.76,0,4.06,0,0,0,0,0,0,2.28
120,0,0,0,70.2,0,0,0,0,3.79,1.78,0,2.09,0,0,1.09,0,0,0,0,0,0,0
