stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,58.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.35,46.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,10.34,0,0,0,0,0,0,0,0,0,0,0,59.13,0,0,0,0,0,13.3,0,0,0,4.93,0,0,0,0,0,0
 14-21,0,0,0,1.01,51.98,0,0,1.86,0,1.89,0,0,1.21,6.23,0,0,0,0,0,2.33,1.65,2.94,0,0,0.88,26.11,0,0,0,0,13.19,0,3.6,0,1.44,2.18,1.25,0,0,1.63,0,0
 24-34,0,0,0,0,63.31,0,0,2.2,0,3.27,0,0,1.73,0,1.53,3.96,0,0,0,0,0,1.96,0,1.66,1.56,12.65,0,0,0,0,10.32,0,0,0,0,0.69,0,0,0,8.26,0,0.62
 36-46,0,0,0,0,44.94,0,0,1.46,2.44,4.62,0,3.19,0,0,0,21.61,0,0,0,6.07,0,6.07,0,0,4.01,19.76,0,0,0,0,10.81,0,0,0,0,0.91,3.09,0,0,1.94,0,0
 48-58,0,0,0,0,23.82,0,0,1.87,0,8.84,0,9.45,0,0,0,35.12,0,0,0,0,3.49,10.52,0,0.75,0,28.24,0,0,0,0,6.42,0,0,0,0,0,0.78,0,0,0,0,3.61
 60-70,0,0,0,0,36.12,0,0,11.91,4,11.68,0,6,0,0,0,49.77,0,0,0.72,0,0,17.51,2.18,0.63,0,23.05,0,1.15,0,0,8.89,0,0,0,0,0,0,0,0,0,0,21.2
 72-82,0,0,0,0,41.15,0,0,14.24,0,13.77,0,22.67,0,0,0,31.08,0,0,1.43,0,1.81,29.27,0,0,1.32,23.62,0,0,2.4,0,11.54,0,0,0.71,0,0,3.33,0,0,2.18,3.71,8.26
 84-94,0,0,0,0,80.67,4.94,0,11.94,0.64,18.33,0,15.27,1.45,0,6.58,55.28,2.89,0,0,1.64,1.28,21.41,0.71,0.86,1.38,19.23,0.61,0,0,0,43.13,0,0,0.89,0,0,0.96,0,0,0.77,0,8.36
 96-106,0,0,0,0,72.45,1.3,0,0.59,0,16.27,0,58.41,2.26,0,1.6,62.94,5.98,2.23,1.77,1.22,0,41.59,0,6.05,0,24.89,0.73,0.6,1.94,8.13,35.72,0,0,0,0.6,0,0,1.68,0.62,2.08,5.98,9.36
108-118,0,0,0,0,140.38,8.44,0.78,13.13,3.34,33.32,0.73,29.36,3.05,0,1.01,46.24,1.96,3.34,0.61,1.62,0,64.84,2.07,4.35,2.81,17.39,0,1.05,0,0,35.69,0,0,0,0,0,0,0.63,1.11,3.46,1.07,30.33
120,0,0,2.94,0,117.62,0,0,4.42,0,34.7,0,48.83,0,0,4.47,40.07,0,11.68,0,3.92,0,46.48,2.27,8.98,22.4,31.94,0,0,0,0,13.3,0,0,0,0,0,0,0,3.79,14.37,0,0
