stage,axial,blastomeres,epidermis,heart,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,129.23,0,0,0,0,0,0,0,0
  5-6,0,76.89,0,0,0,9.46,0,0,14.79,0
  7-9,12.81,0,0,0,0,23.82,11.36,11.7,0,0
 10-12,0,0,0,0,0,31.63,0,0,5.07,0
 14-21,0,0,21.37,0,1.06,3.71,0,0,8.24,0
 24-34,0,0,1.46,0,0.63,0,0,0,3.81,2.23
 36-46,0,0,0,0,0,0,0,0,1.71,0
 48-58,0,0,0,0.66,0,0,0,0,0,0
