stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,41.54,445.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.85,0,0,0,0,0,0,0,0
  5-6,6.23,118.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.38,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,31.46,0,0,0,27.35,0,15.74,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.13,3.88,0,0,8.39,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.09,0,0,0,0,0,0,1.2,1.35,0,0,0,0,0,0,0,1.13,0,0,14.27,0,0,0,0,0,0,1.62,12.8,0,0,0,0,0
 24-34,0,0,0,0,2.45,0,5.48,0,0,0.72,0,0,4.75,0,0,0,0,0,0,2.78,0,0,95.35,0,6.99,0,0,0,0,0,41.89,0,0,0,0,0
 36-46,0,0,0.85,0,0.6,0,41.35,0,0,1.9,0,0,0,0,0,0,0,0,1.49,12.34,0,0,182.01,0,1.74,1.09,0,8.56,0,0,27.91,0,0,0,0,0
 48-58,0,0,0,0,0,0,151.3,0,0,2.69,0,0,0,0,0,0,0,5.26,0,11.09,0,2.9,218.43,0,2.27,2.35,0,6.4,0,0,28.79,0,0,1.03,0,0
 60-70,0,0,0,0,1.17,0.67,642.09,0,0,7.28,0,0,0,0,0,0,0,0,0.71,24,0.62,1.46,372.47,0,2.21,0.65,0,0.7,0,0,32.75,0,0,1.94,0,4.11
 72-82,0,0,0,0,5.65,5.16,774.25,0,1,26.23,1.36,0,0,0,0,0,0,0,0,21.92,0.63,1.25,501.99,0,6.06,2.78,0,3.23,0,0,42.84,0,0,0,0,1.76
 84-94,0,0,0,0,12.94,6.83,688.23,0.56,0,15.11,0,0,1.02,0,0.69,0,2.31,0,0,30.02,7.24,1.04,268.87,0.83,10.28,5.27,0,5.74,0,0,36.28,0,0,6.96,0.68,0
 96-106,0,0,0,0,4.4,0,554.95,0,0,18.52,2.97,0,0,0.78,0,0,1.78,0.7,0,19.35,0,0.65,307.74,0,2.26,10.2,0,2.24,0,0,11.71,0,0,0,1.33,0
108-118,0,0,0,0,5.84,2.74,385.4,0,0.53,24.86,3.65,0,0,0,0,0.67,0.64,0,0,20.16,0,0,315.56,0.75,1.68,11.83,0,0,0,0,14.22,1.22,0.99,0,0,0
120,0,0,0,0,6.49,0,425.2,0,0,29.08,0,0,0,8.09,0,0,0,1.84,0,9.52,3.17,1.9,404.89,3.06,3.82,4.69,0,0,0,0,42.31,0,0,4.29,0,0
