stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,155.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,74.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.52,0,0,0,0,0,0,0,0,0,0,0,118.32,0,0,0,0,0,0,0,0,0,0,0,74.39,20.12,0,0,45.81,0,0,5.11,0,0,0,0,0,0,0,0,0
 10-12,0,14.74,4.52,0,0,0,14.47,0,0,0,0,0,17.43,0,0,0,0,0,0,0,0,0,0,0,120.21,34.58,0,0,84.85,0,0,0,0,10.05,0,0,0,0,0,0,0
 14-21,0,0,14.77,14.14,31.46,0,0,0,0,0,0,31.46,0,0,0,0,0,0,0,0,97.2,0,0,75.98,45.68,113.38,0,0,8.28,0,0,0,2.97,0,3.53,22.24,126.21,0,26.38,0,0
 24-34,0,0,9.89,22.57,3.27,0,23.38,0.72,17.73,3.17,2.93,1.95,0,0,0,1.73,0,0,3.4,0,275,0,1.66,90.26,108.56,18.71,0,0.77,0,0,0,0,0,0.65,0,3.82,76.19,0,176.98,0,0
 36-46,0,0,0,12.26,0,0,112,0,24.01,9.43,0.96,4.43,0,2.47,0,0,0,0.67,1.21,0,319.09,0,11.64,81.6,97.43,7.33,0.68,0,0,1.94,0.81,0,2.07,0,0,0,47.21,1.37,111.09,0,0
 48-58,0,0,0,6.31,0,0,149.81,3.21,16.98,20.87,18.68,4.02,0,2.82,0,0,0,0.41,0,6.68,383.06,0,7.9,42.39,100.23,4.9,0,2.72,0,2.97,0.4,0,0,0,1.66,0,32.03,5.81,63.32,0,0
 60-70,0,0,0,3.32,0,0,75.86,1.88,55.73,8.1,34.99,5.06,0,1.53,4.08,0,5.23,2.1,3.59,0,461.53,0,28.63,27.04,63.46,9.72,0,0,0,14.86,1.26,0,0,3.18,0,0,25.4,13.98,55.82,0.71,0
 72-82,0,0,0.56,5.75,0,0,79.1,0.88,19.59,19.28,37.03,3.22,0,3.55,0.5,0,10.05,4.03,0.76,0,558.05,0,36.52,25.85,64.44,0.58,0.93,2.53,0,16.38,1.74,0,0,1.23,0,0,16.82,36.11,105.99,13.44,8.48
 84-94,5.55,0,0,4.65,0,1.09,70.58,0.79,31.4,20.6,17.88,1.15,0,0,2.14,0,5.26,0,1.38,1.55,452.36,0,27.1,24.59,57.46,2.31,0,10.66,0,12.93,0.64,0,0,0,9.79,0,10.72,25.23,75.92,14.18,0
 96-106,0,0,0,14.1,8.77,0,51.51,4.34,18.51,12.67,23.24,5.47,0,3.96,1.64,0,18.9,4.6,4.24,0,360.03,0,8.67,33.97,65.6,2.92,0,1,0,20.25,1.99,0,0,0,0.6,0,3.81,19.62,132.36,19.53,0
108-118,0,0,0,8.86,0,0,34.69,0.89,46.67,13.49,52.87,1.14,0,1.48,3.21,0.81,23.64,3.17,9.67,0,454.37,0.93,14.74,28.59,67.47,1.16,1.13,8.29,0,44.73,2.05,0,0,0,1.57,0,4.59,16.99,85.71,8.39,0
120,0,0,0,32.58,4.31,0,51.86,1.57,20.38,6.91,53.94,8.73,0,0,12.15,0,34.84,0,2.56,0,401.9,0,35.21,25.58,97.97,5.85,0,2.74,0,4.48,0,0,0,0,0,0,0,24.3,67.53,28.8,17.42
