stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,137.66,2859.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.47,0,0,0,0,0,0,0,0,0,0,0
  5-6,259.39,4330.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.38,10.72,0,0,24.29,70.63,0,0,0,0,0,0,0,0,0,0,0
  7-9,43.21,107.97,0,110.02,0,0,0,296.25,0,0,0,0,76.94,0,0,0,0,0,0,0,0,0,0,0,2322.27,39.13,0,0,814.26,0,4.3,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,65.34,0,132.85,0,5.32,0,162.14,0,0,0,0,30.6,0,0,0,0,0,0,0,0,0,0,7.75,1498.69,50.01,0,0,589.46,0,4.94,0,56.44,0,3.87,0,0,0,0,0,0
 14-21,0,0,0,0.91,56.75,16.01,0,49.78,1.39,0,20.59,2.6,0,0,0,0.9,0,0,0,0,42.79,0,0,29.14,535.95,13.71,2.24,3.31,20.61,10.75,0.99,57.03,1.87,0,40.25,162.98,0,0,4.19,0,0
 24-34,0,0,0,2.53,10.38,2.9,0,46.88,0.71,0,10.87,0,0,2.88,0,1.45,0.92,0,0.68,0,43.55,0,0,27.1,578.52,4.07,0.76,4.26,0,14.53,0,0,2.83,1.51,4.67,109.67,0,0,12.43,0,0
 36-46,0,0,0,0.63,0,4.88,0,64.82,0,1.28,13.99,0,0,3.15,0,0,0,0,0,0,35.7,0,0,17.45,324.29,1.67,5.91,4.69,0,16.45,0,0,0,0,0,66.26,0,0,3.64,0,0
 48-58,0,0,0,0,4.89,0,0,79.73,1.69,2.31,46.9,0.77,3.47,2.11,0,0,0,0.38,0,0,56.76,0.95,0.99,11.47,222.41,0,0.37,1.67,0,0,0,0,0.37,0,0,55.74,0,0,2.25,0,4.59
 60-70,0,0,0,0,6.8,8.51,0,67.49,9.34,1.96,11.61,0,0,0,0,0,6.06,1.37,0,0.73,63.65,0,0.82,4.55,173.32,1.36,0,6.09,0,0.82,0,0,0,1.41,0,22.42,0,1.29,6.26,0,0
 72-82,0,0,0,0,2.1,0.51,0,82.3,0,4.29,20.72,1.45,0,1.96,0.49,0,1.66,0.86,0,1.18,65.37,0,3.47,3.26,162.99,0,2.08,5.1,0,2.16,0,0,2.8,1.05,0,27.28,0.5,1.05,6.65,1.81,3.79
 84-94,0,0,0,0,18.62,1.04,0,47.56,0,0,23.69,0.74,1.23,0,1.06,1.81,0,0.67,0,0,69.74,0,1.41,6.9,90.88,0,0,5.1,0,17.53,0,0,0,0,0,20.07,0,1.47,6.61,2.3,0
 96-106,0,0,0,0,2.59,1.65,0,40.01,3.2,0.81,23.27,3.81,0,2.31,4.17,0,0,0,1.77,0,49.22,4.87,1.05,4.68,137.94,0.69,2.23,4.68,0,18.91,0,0,1.78,0,0,12.18,2.22,0,9.39,0.69,0
108-118,0,0,1.03,0,15.05,1.15,0.78,43.86,1.17,4.52,26.56,4.9,0,0,3.21,1.8,0.51,1.01,0.65,0.68,47.97,1.65,0.91,2.74,151.83,0,10.17,3.8,0,7.78,0,0,0,0,0,5.76,1.37,0,3.66,0.56,0
120,0,0,0,1.66,24.16,1.59,0,27.71,1.78,0,34.57,3.61,0,0,0,1.25,0,0,0,0,56.77,0,8.3,13.77,180.95,0,0,11.24,0,9.53,0,0,0,0,0,9.91,0,0,13.66,0,0
