stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,9.6,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.9,0,0,0,32.23,0,0,0,0,0,0,0,0,0,0,0
 10-12,14.67,30.58,0,9.65,0,29.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.37,0,0,0,94.24,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,13.67,54.47,81.1,0,32.86,0,0,0,24.92,14.32,0,10.22,0,0,0,0,0,0,46.37,0,15.38,242.41,2.7,0,1.95,1.82,0,5.08,5.78,6.68,0.86,12.62,228.97,0,54.07,0,0
 24-34,0,7.57,11.76,14.91,0,108.15,0,0,0,25.54,2.13,0,31.05,1.46,2.52,0,0,0,0.8,89.27,2.43,24.9,331.68,0,0,13.33,0,1.61,4.57,0,5.67,0.61,0.66,159.56,0,208.76,0,1
 36-46,0,0.63,16.95,0,0,127.31,0,5.6,0,38.43,0.66,0,24.67,0,14.55,0,0.61,11.75,13.98,87.49,0,7.35,221.75,6.29,1.22,11.68,0,2.1,6.03,0,3.66,0,0,108.19,0,111.33,0,5.31
 48-58,0,0.51,14.89,0,0,152.3,0,6.07,0.69,46.92,0,0,19.05,0,0.38,0.38,0,0,11.56,61.64,7.13,6.65,142.03,11.46,0,14.26,0,0.4,17.64,0,0,0,0,51.41,2.63,209.83,0,0
 60-70,0,0,5.56,0,0,185.2,0,0,9.63,47.08,0,0,6.46,5.09,1.74,0,1.53,3.88,5.76,92.01,7.56,10.27,122.06,1.12,0,4.38,0,4.06,12.26,0,0.65,0,0,14.77,0.94,92.62,0.79,0
 72-82,0,0,7.42,0,0,64.2,0,0,0.94,80.76,1.46,0,21.28,3.63,3.98,0,0,2.15,3.11,72.4,27.74,1.76,62.88,0,0.61,15.98,0,2.62,12.04,0,2.19,0,0,4.92,6.03,163.57,2.82,0
 84-94,0,0,8.94,1.46,0,61.69,0.75,4.45,0,47.68,3.01,0.91,21.97,2.86,2.53,0.7,0,1.82,3.93,86.71,16.26,2.86,39.38,0.91,0.9,14.15,0,11.11,54.45,0,1.49,0,0,4.15,6.96,191.77,8.59,0
 96-106,0,0,4.47,0,1.14,51.8,0,1.35,0,38.47,4.67,0,13.77,2.66,3.18,2.28,0,1.06,4.06,56.94,4.57,6.57,31.89,0,2.11,13.15,0,17.47,73.44,0,1.69,0,0,21.4,19.91,131.12,13.08,0
108-118,0,0.64,9.43,0,0.5,42.4,0,4.32,0,40.91,0.96,0,21.03,4.85,8.06,0.41,1.1,16.04,13.82,55.27,17.89,5.4,43.83,0,1.16,10.41,0,2.15,63.55,0,1.95,0,0,3.92,15.54,160.02,5.02,0
120,0,0,6.11,0,0,101.53,0,4.67,0,96.81,0,0,6.47,11.38,6.91,0,0,6.36,4.58,136.89,7.49,4.18,74.68,1.39,2.88,9.11,0,18.18,35.52,0,0,0,0,0,1.32,174.38,29.42,0
