stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,100.56,1037.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.03,0,0,0,0,0,0,0,0
  5-6,44.26,747.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.14,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.09,0,0,0,0,18.75,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,136.36,9.45,0,0,40.6,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,10.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.86,6.24,0,0,10.82,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.68,3.97,1.84,0.81,0,0,0,0,0,0,0.96,0,0,0,0,8.68,1.99,0,0,0.85,27.9,0,0,0,0,0,0,3.67,9.06,0,0,1.01,0,0
 24-34,0,0,0,2.02,0,16.23,0,0,0,3.04,0,0,0,1.53,0,0,0,3.69,7.77,0,0,7.18,147.26,0,66.55,0,0,0.72,0,2.05,26.83,0,0,4.6,0,0
 36-46,0,0,0.85,2.31,0,54.71,0,0,0.57,7.76,0,0,0,0,0,0,0.78,14.01,9.61,0,0,4.84,350.8,0,84.5,0,0,0.62,1.34,0,33,0,0,0.75,0,0
 48-58,0,0,0,1.5,0,137.38,0,0,11.72,14.27,2.81,0,0,0,0,0,0,2.91,23.17,2.64,1.45,1.52,618.15,0.41,61.1,0,0,2.24,0,0,38.09,0,0,0.55,0,0
 60-70,0,0,0.86,4.27,0,781.19,0,0,5.86,28.3,4.72,0,0,3.92,0,0,0,1.24,25.46,0,1.41,0.93,756.23,0,64.21,3.16,0,0,0,0,63.51,0,10.76,0.87,0,0
 72-82,0,0,1.12,13.81,0,1124.26,0,2.2,12.09,94.17,1.26,0,0,1.36,0.9,0,0,4.09,72.52,0,2.15,6.29,995.69,3.85,104.38,6.35,0,0,0,0,50.16,0,3.48,7.74,5.12,3.68
 84-94,0,0,6.24,6.44,5.18,614.14,0,0,8.08,50.04,6.25,0,0,2.61,0,1.34,0,0,31.68,0,1.79,11.73,758.02,0,89.99,7.02,0,1.52,0,0,18.5,0,1.38,0,4.24,0
 96-106,0,0,6.33,13.02,10.66,611.06,0,0,11.28,43.65,0.71,0,0,13.59,0,0.75,0,0,37.78,0,0,4.58,636.58,0,143.97,22.88,0,7.34,0,0,22.32,0,1.32,4.35,2.24,0
108-118,0,0,6.35,22.62,0,593.81,0,0.46,2.94,65.04,0.73,0,0,14.14,0.58,0,0,5.3,25.33,0,0,1.88,890.8,0,78.56,8.26,0,1.13,0.64,0,19.52,1.05,1.23,0,0.42,0
120,0,0,11.76,2.17,0,316.31,3.87,0,0,40.78,0,0,1.15,10.59,0,0,4.67,0,12.19,0,16.82,1.64,1162.08,0,114.59,15.66,0,0,2.39,0,77.82,0,1.56,10.64,0,0
