stage,axial,blastomeres,endoderm,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,0,68.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,178.6,0,0,0,0,0,0,0,0,7.38,0,0,7.58,0,0,0
  7-9,8.09,0,8.91,24.12,0,0,0,18,0,0,118.93,0,43.95,0,0,0,0
 10-12,0,0,9.02,0,0,0,0,0,0,0,53.36,0,48.91,0,0,0,0
 14-21,0,0,0,0.81,0,0,0,0,0,0,3.61,0,0,0,0.88,4.04,0.96
 24-34,0,0,0,0,0,0,0,0,0,0,3.5,2.26,0,1.67,0,8.87,0
 36-46,0,0,0,0,5.36,0,0,0,0,0,27.31,0,0,0,0,0,0
 48-58,0,0,0,0.61,0,0,0,0,0.44,0,0,0,0,5.05,0,0,0
 60-70,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.72,1.28,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.6,0,2.04,0,0,1.24,0,0,0
120,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0
