stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,49.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,32.26,0,0,15.64,3.29,0,0
 10-12,0,46.39,0,0,0,0,0,0,0,174.33,4.54,0,43.31,6.84,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0.78,0.86,0.91
 36-46,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,3.54,0.53,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.46,0,0,0,0,1.02,0,0,0,2.39,0,0
 84-94,0,0,0,0,2.41,0,0,0,0,0,0,0,0,2.52,0,0
 96-106,0,0,0,10.27,0,0,0,0,0,0,0,2.3,0,3.45,0,0
108-118,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,13.81,0,0,0,0,0,0,2.39,0,0
