stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,otic,periderm,spinal_cord,vasculature
  3-4,42.45,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.52,0,0,0,0
 10-12,0,0,0,0,0,0,3.59,0,0,0,0
 14-21,0,0,0,0,0,0,4.36,0,0,0,0
 24-34,0,0.85,1.55,0,3.57,0,16.25,0,0,2.54,0
 36-46,0,0,1.77,1.27,0.69,0,12.12,0,0.76,1.42,1.9
 48-58,0,0,3,2.28,0,1.71,10.73,0,0,0.52,0
 60-70,0,0,0.94,6.35,0,0,12.94,0.85,0,0.72,0
 72-82,0,0,6.7,0,2.47,0,12.41,0,0,0.89,0
 84-94,0,0,0,1.7,0,0,11.42,0,0.95,0,0
 96-106,0,0,2.22,0.82,0,0,4.67,0,0.73,0,0
108-118,0,0,0,1.66,0,0,9.79,0,0,0,0
120,0,0,4.16,0,0,0,6.76,1.43,0,0,0
