stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2.7,6.82,83.58,1157.97,450.45,0,645.44,0,5.3,0,136.11,51.86,49.2,16.04,10.39,48.28,10.09,3.12,14.51,115.01,513.37,1.17,0,309.9,7658.22,474.41,28.57,137.67,260.06,0,7.26,7.72,991.31,94.84,117.08,1221.95,2350.66,0,0,112,0,102.66
 24-34,0.83,4.88,13.81,186.24,43.55,0,649.12,0.72,12.31,8.38,191.77,8.79,4.82,24.86,25.87,22.18,22.62,16.24,7.17,190.96,598.33,6.32,2.03,213.2,7161.83,57.6,54.21,84.26,0,4.21,21.71,0,2.46,15.01,15.47,130.79,1693.58,0,0,390.64,0,214.07
 36-46,0,1.72,0.96,53.24,7.59,0,803.22,0.68,1.97,19.73,333.78,3.92,0,16.77,14.96,6.35,40.38,16.21,7.03,90.69,488.5,2.3,16.16,145.54,4860.7,4.48,16.17,29.9,0,8.7,23.27,0,1.39,10.71,0.58,3.52,1505.28,0,0,157.12,0.78,103.48
 48-58,0,1.47,1.25,50.14,0.46,0,1036.47,3.01,9.85,24.21,540.92,8.63,0.76,24.77,26.93,4.31,42.69,12.33,12.52,64.27,664.32,4.89,28.58,146.63,2181.51,3.45,9.72,31.3,0,4.33,19.47,0,0,2.74,1.3,0,929.19,0,3.46,125.72,0.9,131.24
 60-70,0,3.37,0,49.87,1.9,0,613.53,1.42,4.58,13.78,494.18,16.98,4,14.96,31.94,16.09,59.88,14.21,2.75,23.56,596.1,2.41,38.41,83.6,816.86,5.95,5.97,8.11,0,3.52,13.66,0,0,7.88,1.99,0,220.79,1.38,6.91,124.83,2.12,73.72
 72-82,0,3.33,0.56,46.13,10,0,330.28,2.96,7.62,30.6,446.34,20.32,2.74,14.51,30.77,5.59,89.69,24.82,4.04,6.81,673.39,4.61,34.39,77.24,602.89,7.66,20.16,29.84,0,12.9,14.87,0,0,7.8,0,0,86.93,8.47,25.64,133.32,19.06,136.66
 84-94,0,6.99,0,72.05,26,0.89,304.95,0,6.76,21.8,292.94,26.64,1.49,9.76,33.3,10.71,49.55,21.12,6.68,14.56,528.59,4.98,35.39,80.98,474.93,1.54,15.81,28.59,0,16.62,41.06,0,0,12.69,1.65,0,77.23,9.42,29.9,133.33,23.33,53.44
 96-106,0,14.8,0,91.14,20.08,0,256.54,2.44,8.5,14.04,351.62,21.92,0,16.75,82.77,13.11,45.63,12.54,3.32,11.51,493.66,10.5,22.28,57.09,406.17,0,29.65,37.21,0,21.92,41.65,0,0,3.68,0,0,42.07,8.43,23.52,165.19,20.27,61.46
108-118,0,7.11,0.61,83.28,22.67,11.17,203.07,1.39,18.56,22.57,405.16,44.14,0,11.45,36.13,19.86,84.82,14.34,7.71,26.83,446.58,5.81,18.97,49.37,552.52,4.41,23.42,30.2,0,16.76,48.82,0,0,4.17,0.86,0,15.87,10.06,19.35,160.88,11.1,65.77
120,0,3.73,0,94.08,9.44,0,165.54,3.11,18.07,27.65,320.08,32.79,0,11.49,41.39,1.65,27.41,9.98,11.65,5.92,386.59,0,25.45,62.45,409.43,1.03,13.11,16.35,0,17.56,45.07,0,0,3.98,0,0,23.26,8.22,10.65,109.03,15.35,24.46
