stage,blastomeres,eye,neural,paraxial.mesoderm,pronephros
  3-4,24.37,0,0,0,0
  5-6,81.48,0,0,0,0
  7-9,5.38,16.42,33.79,14.83,0
 10-12,3.43,0,40.5,29.01,3.54
