stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,108.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.27,127.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.47,0,0,6.78,0,0,29.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.63,0,0,0,25.76,0,3.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.78,0,6.16,0,0,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.06,7.76,0,0,46.77,0,0,8.5,0,26.04,0,0,0,0,0,0,0
 14-21,0,0,0,1.72,26.54,5.55,12.44,0,0,2.65,0,3.52,2.07,0,0,0,0,0,1.07,33.77,0,0,26.08,227.86,3.07,0,1.76,1.96,0,4.29,0,43.27,1.44,1.2,26.49,72.46,0,0,0.85,0
 24-34,0,0,0,4.35,2.13,1.35,11.79,0,0,6.6,5.55,0,0.8,0,0.64,0,0,2.67,0,25.32,0,0,9.78,215.93,0,0,1,0,0,7.84,0,0,1.17,0,7.06,79.83,0,0,4.98,0.78
 36-46,0,0,0,0,1.3,0,55.98,0,2.59,10.56,0.74,0,1.87,0.57,0,0.74,0,5.5,0,26.1,0,3.37,3.28,201.68,1.49,1.04,2.05,0,0.97,12.39,0.65,0,0,0,0,65.41,0,0,2.87,0
 48-58,0,0,0,0,0.45,0,27.29,0,2.58,11.05,0,0,0.64,0.56,0,0,1.31,0,0.8,21.48,0,0,2.35,113.02,1.01,2.19,2.83,0,0,1.89,0,0,0,0,0,21.96,0,0,7.46,2.8
 60-70,0,0,0,0,2.66,1.64,1.32,3.63,0,1.43,0,0,0,2.95,0,0,0,0,0,14.35,0,0,0.68,14.19,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0.88,3.9
 72-82,0,0,0,0,0.81,0,7.93,0,1.41,9.63,1.63,0,2.16,0,0,0,0,0,0,18.73,1.76,0,0.57,30.98,0,1.32,3.85,0,0,1.92,0,0,0,0,0,4.67,0,0,3.25,0
 84-94,0,0,0,0,1.44,0,23.09,0,8.38,6.76,6.53,0,0,2.06,2.05,0,0,0,0,8.02,0,0,3.19,15.67,0,0.71,0,0,0,2.5,0,0,0,0,0,0,0,0,2.62,0
 96-106,0,0,1.19,0,1.19,0,6.77,0.62,0,3.84,0.7,0,1.33,0,0,2.39,0,0,0,10.11,0,0,2.37,17.68,0,0.7,0,0,0,3.49,0,0,0,0,0,0,0.62,0,0.98,0
108-118,0,0,0,0,5.3,0,4.03,0.5,2.19,8.25,4.71,0,0,0,0,0.73,1.15,0,0,24.48,0,0,2.72,68.39,0,0.42,0.73,0,0,3.7,0,0,0,0,0,0,0,1.7,6.42,3.32
120,0,0,0,0,2.06,0,15.77,2.24,3.73,0,0,0,0,3.35,0,0,0,0,0,37.33,0,0,5.89,64.28,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,13.88,0
