stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,146.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.48,0,0,0,0,0,0,0,0,0,0
  5-6,175.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.71,0,8.29,0,0,0,30.92,0,0,0,0,0,7.51,0,0,0,0,0,0,0,0,0,0,0,195.11,8.8,0,0,47.22,0,0,0,0,0,0,0,0,0,0,0
 10-12,12.57,0,54.31,0,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.21,7.81,0,0,147.37,0,0,17.73,0,0,0,0,0,0,0,0
 14-21,0,1.38,0,22.94,1.81,0,2.93,0,0,0,5.02,0.82,0,1.07,0,0,0,0,0,0,8.46,0.95,0,4.92,70.99,2.55,1.37,5.52,2.72,7.83,10.39,4.69,1.16,8.17,19.45,0,0,2.27,0,0
 24-34,0,1.81,1,10.17,1.6,0,6.73,0,1.33,0,5.43,0.82,0,1.33,0.6,0.62,0,3.75,0,0.62,33.96,0,0,7.58,197.69,2.03,10,1.85,0,10.61,0,0.93,0,2.16,59.77,0,0,15.48,0,3.49
 36-46,0,0.95,0,2.12,0,0,23.59,0,0,1.23,12.18,1.39,0,0,6.17,5.48,0,1.61,0,6.66,18.36,4.61,0,3.08,397.72,0,3.04,0,0,30.02,0,0,0,0,81.63,0,0,5.78,0,11.13
 48-58,0,0,0.43,0.61,0.44,0,54.12,0.42,0,1.29,12.22,0.38,0,0.9,4.93,4.54,0,0,0,5.09,38.84,0,0,8.58,366.98,5.32,0.37,0.48,0,10.67,0,0,0,0,83.48,0,0,6.4,0,2.99
 60-70,0,0,0,8.35,0,0,70.17,0,6.44,2.54,17.71,0,0,0,3.31,0,0,0,0,0,53.67,0,1.91,8.13,297.73,2.09,0.58,0.87,0,28.06,0,2.42,1.41,0,50.91,0,0,3.2,0,0
 72-82,0,0.56,0,6.15,5.29,0.76,73.23,3.65,0,0.57,34.78,5.3,0,3.01,3.31,1.6,4.02,7.33,0,0.62,72.32,0,7.5,5.42,271.15,0,3.09,6.99,0,15.25,0,0,3.03,0,25.74,1.9,1.57,15.98,2.9,12.67
 84-94,0,0,1.01,14.66,1.79,0,51.68,1.17,3.76,0,33.82,10.87,0,11.96,5.46,6.1,1.27,0.73,1.17,7.27,73.32,3.99,0,4.22,210.7,0,5.22,5.18,0,29.65,0,0.74,0,0,28.41,0.57,0,19.45,5.05,1.59
 96-106,0,0,0,8.07,7.94,0,57.33,8.17,0,9.83,41.94,5.39,0,0,3.71,4.36,2.7,6.79,2.39,0,36.27,2.61,0,1.2,153.38,0.61,3.97,5.98,0,30.14,0,0,0,0,16.3,0,0.94,2.55,4.95,8.2
108-118,0,1.39,0,20.49,12.34,1.37,38,0.49,3.49,1,28.03,5.3,0,2.28,8.73,6.97,2.27,3.25,0.86,1.85,67.74,3.1,0,1.63,204.51,0.77,2.3,6.71,0,12.43,0,0,0,0,14.11,4.08,3.26,10.28,0.42,2.08
120,0,0,0,36.77,1.77,1.71,64.67,0,3.87,16.18,1.62,7.35,0,0,6.18,9.66,0,8.62,3.32,0,21.59,0,0,6.43,204.49,0,21.48,22.91,0,19.77,0,2.12,0,0,31.73,1.28,2.15,0,0,0
