stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,47.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,53.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.54,0,0,0,0,0,0,0,0,7.37,0,0,0,0,0,0,0,31.71,5.22,0,0,6.11,0,3.31,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,38.72,0,0,0,0,0,0,0,28.58,0,0,0,33.76,0,3.3,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,5.22,0,0,0,0,0,0,0.84,8.15,0,0,0,0,0,49.71,3.41,2.72,2.7,8.73,0,0
 24-34,0,0.75,0,1.18,0,0,4.55,0,0,0,0,2.59,1.53,0,0,0,8.26,0,3.47,18.55,0,0,0,0,0,17.64,0,0,1.8,10.24,0,0
 36-46,0,0,0,0,0,0,0,3.98,1.85,1.38,0,0.76,2.14,0,0,0,23.6,0,7.65,49.3,0,0.63,0,0,0,9.22,0,0,0,28.35,2.54,0
 48-58,0,0,0,0.45,0,0,5.32,0.47,0,2.6,0,0,0.58,0,0,0,24.53,0,2.34,26.42,0,0.4,0,0,0,3.88,0,0,0,15.48,0.37,0
 60-70,0,0,0,0,0,0,20.39,0,0,5.79,0,0,0.78,0,0,0,28.23,0,3.72,96.56,0,0,0,0,0,0,0,0,0,8.24,1.27,1.45
 72-82,0,0,0,1.87,0,0,38.9,0,0.68,4.4,0,0,0,0,0,0,29.13,0,2.96,100.26,0,2.56,0,0,0,0,0,0,0,11.35,2.26,0
 84-94,0,0,0,0,0,0,21.08,0,3.46,17.74,0,0,6.09,0,0,0,25.55,0,3.11,77.82,0,0.56,0,0,0,0,0,0,0,10.2,0.68,3.08
 96-106,0,0,0,0,0,0,47.91,0,1.56,13.3,0.66,0,0,0.93,3.83,0,32.68,1.75,2.9,69.08,0,5.31,1.16,0,0,1.44,0,0,0,9.43,0,1.33
108-118,0,0,0,1.07,0,2.22,48.53,0,0.95,35.76,0,0,0.64,0,6.94,0,34.54,0,0,96.39,0,0,7.61,0,0,0,0,0,0,0,11.6,4.36
120,0,0,0,2.37,1.18,0,69.18,0,0,8.55,0,0,0,0,11.03,1.6,32.59,0,0,86.65,0,3.39,0,0,7.06,0,0,0,0,7.97,0,7.35
