stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.61,36.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0
  5-6,17.44,80.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.43,0,0,11.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.87,7,0,0,22.02,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.55,0,16.41,0,26.16,0,0,0,0,0,17.31,0,0,0,0,0,0,0,0,239.28,8.45,0,0,16.13,0,0,0,23.09,0,0,9.29,0,0,0,0
 14-21,0,0,0,0,2.18,0,0,0.82,0,0,0,0,0,1.86,0,0,0,0,0,0,0,1.88,8.32,1.57,0,0,0,0,0,2.11,0,0.8,3.17,5.44,0,0,0,0
 24-34,0,0,0,0,1.85,1.05,0,1.45,0,0,0.71,0.6,0,0,1.22,1.29,0,0,0,11.51,0,0,54.56,1.3,0.67,0.67,0,0,0,0,3.91,1.04,1.51,11.45,0,1.14,0,0
 36-46,0,0,0.85,0,1.6,0,0,5.6,0,0,0,1.66,0,0,1.7,0.77,0,0,0,5.47,0,9.71,23.36,0,0,0,0,0,1.81,0,0,0.73,0,7.31,0,0,0,0
 48-58,0,0,0,0,7.41,0,0,21.65,0,0.45,1.15,6.6,1.14,0,0,0.4,0,0,0.44,10.31,0.41,6.67,43.66,0.39,0,0,0,0,0.67,0,0,0,0,8.66,0,0,0,1.32
 60-70,0,0,0,0,0.82,0,0,25.03,0,0,0,4.16,0.96,0,0,0,0,0,0,13.91,0,0,32.69,2.15,0,0,0,0,14.76,0,2.06,0,0,3.19,0,4.84,0,0
 72-82,0,0,0,0,1.73,0,0,16.93,0,0,1.07,18.02,1.16,0,0,0,0,0,0,17.18,1.07,3.44,33.73,2.85,0,0,0,0,3.75,0,6.18,0,0,2.93,3.83,2.79,0,0
 84-94,0,0,2.82,0,0,0,0.84,12.9,0,1.21,1.9,18.69,5.06,0,0,1.2,0,0,11.36,15.71,0,1.58,13.56,0,0,0,0,0,1.21,0,3.25,0,0,3.49,0.63,2.66,0.89,9.33
 96-106,0,0,1.05,0,0.79,0.71,0,13.23,0,0,2.34,7.7,5.11,0,0,0,0,0,0,6.75,0,0.57,27.26,0,1.2,2.69,0,0,4.59,0,2.8,0,0,0,0,3.62,0,0
108-118,0,0,0,0,3.34,0,8.41,14.86,0.84,0.5,2.17,13.57,16.92,0,0,0,0.43,0.51,0.5,24.14,0.71,1.2,23.31,0,0,0.43,0,3.57,0.47,0,8.31,0,0,1.81,0,7.74,1.9,2.49
120,0,0,0,0,10.8,0,0,87.17,6.5,5.79,1.52,10.22,24.16,0,0,0,0,0,8.41,42.29,2.21,0,19.01,0,5,1.98,0,0,0,0,14.99,0,0,0,0,0,0,0
