stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,230.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.03,0,0,0,0,0
  5-6,226.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,139.56,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.96,0,0,0,3.47,42.27,0,0,0,0,0
 10-12,0,0,0,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,44.15,12.81,0,0,0,46.41,9.97,0,0,0,0
 14-21,0,7.26,0,0,0,0,4.61,0,0,0,0.89,0,0,0,0,0,0,1.74,2.57,0,0,0.92,69.24,0,3.86,0,0,0
 24-34,0,7.2,0,0.64,0,0,1.27,0,0,0,7.72,0,1.83,0,0,0.61,0,8.46,0.79,4.12,0,0,175.52,1.75,0,0,0.61,0
 36-46,0,2.95,0,0,1.3,0,0,0,0.56,1.78,4.74,0,0.61,0,0,8.05,0,12.64,0,5.71,1.56,0,150.3,1.47,0,0,0,0
 48-58,0,2.41,0,0.75,0.5,0.4,0,2.01,0,0.46,0.53,0,8.54,0,0.47,0,0,4.47,5.11,5.29,0.84,0,119.8,0,0.48,0,0,0
 60-70,0,7.27,0,5.22,3.82,0,0,1.78,0,1.06,0.58,0,2.06,0,1.06,0,0,3.09,0,9.37,0.86,0,139.27,2.82,0,0,0,0
 72-82,0,7.28,0,1.95,0,0,0,0,0,1.45,4.02,0,7.97,0,0,0.94,0,2.13,0,11.96,1.7,0,109.58,0,0,0,0,0
 84-94,0,26.41,0,0,7.07,0,5.74,1.3,1.57,1.55,10.29,0,8.34,0,0,4.34,0,4.73,0,6.5,3.1,0,341.46,0,0,0,0,0
 96-106,0,30.14,6.07,6.69,2.16,0,3.21,0,0,7.18,7.22,0,5.27,2.04,1.05,6.93,0.83,26.62,0,13.16,7.35,0,276.65,0,0,0,0,1.67
108-118,0,32.42,0,4.26,4.13,0,4.71,0,0,7.63,14.3,2.82,15.08,0,4.52,1.15,0,8.7,0,19.13,3.78,0,205.96,1.12,0,4.3,1,0
120,0,49.78,1.8,3.77,23.5,0,3.03,0,0,3.91,26.69,0,4.66,0,0,2.57,0,1.48,0,18.15,5.98,0,307.61,0,0,0,0,0
