stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,13.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.43,0,0.86,0,0,0,0,0,0,0,0,0,0,0,8.24,0,0,3.42,6.94,0,0,0.8,2.24,0,0,2.16,0,265.94,24.78,0,0,0,0
 24-34,0,1.43,0,5.75,33.68,0,0,3.54,0,0,2.82,0,1.03,0,0,11.97,4.95,0,21.62,59.2,0,0.65,1.09,0,0,0,0,0,147.56,29.42,21.19,0,0,0
 36-46,0,13.68,0,2.66,87.74,0,0,0,0,0,26,0,0,5.32,0,8.59,0,0,54.5,83.04,0,0,0.75,0,0,1.01,0,0,175.89,7.63,20.59,0,0,0
 48-58,0,3.41,0,27,74.34,0,0.47,2.81,0,0,7.63,0,0,3.03,0,34.97,0,3.32,122.8,144.11,2.7,0,9.08,6.64,0,0,0,5.13,56.52,0,34.29,0,2.08,0
 60-70,0,18.33,0,67.53,122.18,0,5.87,4.73,0,1.21,13.89,0,0,1.96,0,62.91,0,23.11,100.65,200.13,0,5.93,5.07,0,2.07,0,1.38,0.59,40.83,0,49.42,0,0,15.07
 72-82,0,4.89,0,32.47,96.21,0,0.93,5.07,0,0,7.49,1.39,0,2.1,0,126.47,0,35.79,63.24,52.21,0,0,0.79,0,7.39,0,0,0,13.42,0,11.06,3.55,0,76.1
 84-94,0,16.89,0,34.37,122.81,1.18,0,10.1,0,0,12,1.2,0,5.67,0,85.98,0,19.07,67.24,32.29,0,0,5.01,0,0,0,0,0,6.34,0,9.42,9.75,0,116.12
 96-106,0,16.61,4.32,18.53,202.23,1.12,2.04,3.97,0,0,13.87,1.18,0,0,0,97.51,1.68,21.3,44.61,32.99,0,0,3.94,0,1.47,2.3,0,0,3.99,0,0,1.82,0,117.94
108-118,0,5.06,0,16.35,149.53,0,4.75,9.65,0.47,0,10.37,1.31,0,2.43,0.7,134.8,0,50.97,37.46,46.71,0,0,3.97,0,12.23,0,0,0,1.66,0,0,0,2.28,70.84
120,0,26.19,0,45.32,143.89,1.06,0,83.63,0,0,3.06,9.65,0,0,0,205.4,0,150.22,47.55,68.83,0,0,0,0,62.69,0,0,0,2.94,0,16.96,17.89,1.48,178.68
