stage,epidermis,eye,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.45,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,18.31,3.99,0,0,5,0,0,0,0,0,0
 14-21,0,0,0,1.28,0,0,0,0,4.42,4.52,0,0,0,0,0,0,8.14,0,0
 24-34,1,0.63,0,6.95,0,0,0.75,0,31.68,0,2.64,1.28,0,0,1.04,0.62,16.28,0,5.64
 36-46,0.94,0.77,0,0,0,0,7.66,0.73,101.77,0,2.91,0,0,0,0,0,19.58,0,0
 48-58,1.16,0,0,0.41,0,0,5.29,0.44,75.83,0,2.62,0.54,0,0.42,0,0,14.91,0,0
 60-70,0.71,0.68,0.63,3.83,0,1.39,0.81,0.82,32.69,0,2.03,0,0,0,0,0,9.53,0,0
 72-82,0,7.13,0,0.68,0.67,0,9.05,0.49,49.18,0,2.36,0,0,0,0,0,6.27,0,0
 84-94,1.02,0.65,0,0,0,0,10.78,0,27.79,0,2.99,0,0,0,0,0,0,1.11,0
 96-106,0,7.38,0,6.63,0,0,7.75,1.1,23.39,0,4.15,0,0,0,2.91,0,1.61,0,0
108-118,0,2.92,0,9.86,0,0.74,3.71,0.76,46.13,0,2.75,0,0,0,0,0,6.93,0,0
120,1.69,0,0,0,0,0,4.74,0,41.06,0,1.48,0,0,0,0,0,12.86,0,0
