stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,0,31.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.31,19.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.96,0,0,0,0,0,0,0
 14-21,0,0,0,2.26,0,0.82,0,0,0,0,0,0,0,0,0,27.5,0,0,0,0,1.78,21.22,0,0,0,0,0.85,1.04,0,6.85,0,0
 24-34,0,0,0,4.99,0,2.19,0,0.61,0,0,0,0,0,0,0,13.65,0.62,3.65,0,0,0.75,42.76,0.64,1.14,0,0,0,0,0,3.63,3,0
 36-46,0,0,0,0,0,10.4,0,0,5.77,0,0,0,0,0,0,8.77,0,2.03,0,0,2.78,43.52,4.59,0,0,6.21,0,0,0,8.59,0,0
 48-58,0,0,0,3.22,0,16.96,0,0,9.69,0,0,0,1.38,0,0,17.22,3.15,0.79,0,0,0,62.63,0,0,0,2.91,0,0,0,4.92,0,0
 60-70,0,0,0,0.66,0,128.81,0.68,0,1.24,0,0,0,0,0,0,47.05,0,9.26,0,0,0,72.73,0,0,0,0,0,0,0,8.93,0,0
 72-82,0,0,0,0.56,3.38,89.98,0,0,6.26,0.53,0,0,0,0,1.05,95.42,0,1.95,0,0,3.15,99.37,0,4.89,0,1.14,0,0,0,6.83,5.38,0
 84-94,0,0,1.11,2.41,2.16,46,0,1.88,9.01,0.72,0,0,0.72,0.68,0,397.26,0,6.92,0,6.65,0.7,60.74,0,0,0,5.56,0,0,0,0.94,1.81,0
 96-106,0,0,0,3.07,6.51,41.7,0,0.75,9.12,0,0.62,1.89,1.59,0,0,763.16,0,11.76,0,0,1.1,81.96,0,0,0,7.04,0,0,0,5.59,1.32,0
108-118,0,0,0,0,5.21,78.45,0.58,0,13.4,1.14,0,1.04,0,0,0,1623.73,0,20.73,6.44,0,0,129.92,0.67,0,0,2.12,0,0.54,0.46,0,2.41,0.83
120,0,0,0,6.14,1.11,41.69,0,0,14.42,1.14,0,2.37,0,0,0,886.57,0,10.98,0,0,0,129.11,0,0,0,5.08,0,0,0,0,5.84,0
