stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,immune,ionocyte,lateral.line,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pgc,vasculature
  3-4,221.63,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0
  5-6,70.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.15,0,0,0,0,0,0,0,5.76,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.68,0,5.73,0,3.78,0
 24-34,0,0,0,0,0,2.18,0,0,1.99,0,0,0,0,0,1.32
 36-46,0,0,0,0,0,10.62,0,0,0,1.24,0,0,0,0,0
 48-58,0,0,0,1.66,0.4,8.51,0,1.59,0,0.45,0.44,0,0,0,4.33
 60-70,0,0,0,0,0,1.58,0,0,1.31,0,0,0,0,0,0
 72-82,0,0,0,0,0,5.89,0,0,0,1.27,0,0,0,0,0
 84-94,0,0,0,1.72,1.9,1.3,0.55,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,5.4,0,0,1.09,0.7,0,0,0,0,2.23
108-118,0,0,1.34,0,0,2.18,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,20.98,0,0,0,0,0,0,0,0,1.4
