stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,1.51,6.14,1.74,1.71,0,0,0,0,0,0,0,0,0,0,0,0,1.77,15.07,1.13,0,0,4.46,3.97,9.09,0,439.35,56.96,5.99,0,0,0,0
 24-34,0,0.73,0,0,4.39,0,0,0,0,0,0,0,0,0,0,0,0,9.2,20.29,0,0,0,0,3.89,0,0.73,354.2,1.4,2.75,0,0,1.26,0
 36-46,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,4.58,5.07,0,10.2,34.03,0,0,0,0,3.34,0,0,321.44,0,1.11,0,0,0,0
 48-58,0,0,0.42,0,7.68,21.29,0,0.78,6.63,0,0,0,0,0,0,4.53,0,6.21,34.32,0.41,0,0,0,0,0,0,261.23,0,0.68,0,0,0,0
 60-70,0,0,3.36,0,4.15,287.27,0,0,1.91,3.45,0,0,0,0,0,16.91,0,66.69,17.13,0,0,0,12.97,2.35,0,0,233.56,0,3.04,0,0,0,0
 72-82,0,0,2.35,5.08,32.24,451.16,0,9.93,8.86,0,2.29,0,0,0,0,20.61,0,84.12,51.79,0,1.65,0,20.28,0,0,0,50.63,0,4.72,0,0,0,6.09
 84-94,0,0,1.3,11.36,72.86,550.66,0,0,2.35,0,0,1.78,0,0,0,17.28,0,72.51,50.53,0,0,1.41,0,5.65,0,0,102.67,0,7.29,0,2.32,3.85,2.53
 96-106,1.41,0,4.72,8.6,83.44,676.72,1.87,9.44,13.47,1.99,0.59,0,6.08,6.24,1.03,19.35,3.03,16.74,83.26,0,0.6,1.34,6.02,6.72,0,0,81.03,0,2.16,0.61,0,9.95,11.41
108-118,0,0,0.58,0.52,55.34,1189.1,0,0,1.76,0.77,2.75,0,0,0,0,10.28,0,1.31,53.94,0,0,0,0,1.89,0,0,67.71,0,5.93,1.68,0,3.36,0
120,0,0,19.76,1.6,4.9,457.08,0,0,3.25,0,0,0,0,0,0,11.65,0,0,37.88,0,0,3.55,0,1.04,2.24,0,61.15,0,0,0,0,3.6,0
